# units: Imperial
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,62.463249924563435,89.3492530053232,-1080.501524005012,1348.671180128037,-479.2732187723595,2262.2212697158207,0.0007226421580533784,-0.0007894117157187241,-0.0005966532769011434,0.0008127579667444199,0.0,False,-2317.461472300406
2,1,61.004916591236196,90.07841967198685,-1144.250791865725,1295.4754966538865,-483.26579183913447,2272.828745266459,0.0007404853551797111,-0.0007781376637695236,-0.0006016236814851555,0.0008167262282745423,0.0,False,-2311.086307526801
3,1,56.17069435961033,92.64487524621899,-1227.6558751098498,1018.3607190295725,-311.7105289770928,2019.080346589041,0.0007250790168884386,-0.0006729681808042565,-0.00038805237028516,0.0007254516884431948,0.0,False,-2457.722366325084
4,1,54.712361026283084,93.37404191288262,-1254.30080592814,918.310427345728,-312.1841650841677,1958.844587602279,0.0007180056500164875,-0.0006343499177383638,-0.00038864200585052647,0.0007035460522149682,0.0,False,-2492.9146134502
5,1,255.31255874986473,46.309185149908615,1736.2155941178344,457.8770418081531,31.88349104754241,1192.1507713146148,-0.0006710003085190564,0.0001247095875798604,3.969216026986598e-05,0.00039834962857289,0.0,False,-2983.2244063551943
6,1,254.20144763875365,45.1980740387975,1805.0789114162772,594.6854814068662,42.078915795631644,1155.186505575416,-0.0006754582100263976,7.7958816074742e-05,5.238457317147463e-05,0.00037761798114147147,0.0,False,-3016.5305953248208
7,1,49.813219952652354,95.8016065294132,-1476.1419543258896,560.9958436413098,-147.89996652121502,1792.0855733968067,0.0007479423305993133,-0.0005200869427343796,-0.00018412253433331034,0.0006406635906777624,0.0,False,-2593.937706465963
8,1,48.35488661932511,96.53077319607682,-1532.1198778656,443.81169587165067,-105.36825552984128,1734.6219138039362,0.0007504503951389248,-0.00047948067781217185,-0.0001311742707098898,0.000618453137575295,0.0,False,-2629.6196536232305
9,1,41.59568286285178,99.6354166666667,-3096.292678820151,-28.45827429973603,-340.02473525840065,2792.15313919078,0.001343800627603274,-0.0005657922504797575,-0.00042330108291686874,0.0009779735127834533,0.0,False,-2052.036343144563
10,1,43.054016196184214,98.9062500000005,-1985.2476278829283,68.24930233766877,-113.92768799880652,1829.9101314827062,0.0008777555993704431,-0.0004004565190336151,-0.00014183001618241903,0.0006430283767310148,0.0,False,-2590.1385867181248
11,1,188.48441507169787,39.403451205266016,3328.4887208787086,2554.427715864139,935.4431515362296,2111.6078544439047,-0.0009733585693758734,-0.000491198678980384,0.0011652131326674794,0.0006305156232098756,0.0,False,-2528.723249474468
12,1,182.402230901699,42.050817113439116,3098.891101731409,2425.5955461357084,962.7830050534151,2083.6618325069517,-0.0008973316485942438,-0.00047764325455181,0.0011996568215146223,0.0006354751839176105,0.0,False,-2560.7684572316084
13,1,71.3777620811191,91.98830279411926,-675.6086763330056,969.4426949118226,-402.0545533138265,1586.8341561946465,0.00047517703210032264,-0.0005486294097790626,-0.0005005587603578996,0.0005698110877748792,0.0,False,-2707.6577578398624
14,1,65.70595617548952,92.22108983743047,-907.4458445112833,960.9148814194698,-410.99921352797526,1767.754018445023,0.0005741999945214384,-0.0005874206326218767,-0.0005119060106655166,0.0006347066734248807,0.0,False,-2602.5938221985325
15,1,128.9638610509506,75.65846218410098,904.0168920152577,1288.3181698465248,255.23270337074416,706.0100025181043,-0.00015342155999990836,-0.00039247466376266665,0.0003175461760985248,0.00019873472291814245,0.0,False,-3244.216362537348
16,1,154.5138055061411,55.547572684940434,2173.597888978529,2170.8320679734315,542.9902654731442,1280.4233239654084,-0.0005413954812365056,-0.0005398807144423902,0.0006756417578143298,0.0003378217279205402,0.0,False,-2917.2493968530675
17,1,190.0077077009819,42.13167627824416,3156.0732976961567,2141.266309763668,945.9343725860994,2139.9118452538023,-0.0009752425169383214,-0.00034343025465989954,0.001177625576925757,0.0006682044474176858,0.0,False,-2549.7592544652607
18,1,139.89904760162517,68.38376527606925,1330.2002243018107,1519.2198842001885,358.9929150825575,859.1809246595927,-0.00029606563873764424,-0.00041361008455241544,0.0004470429200796079,0.0002311190543503523,0.0,False,-3152.6338812008607
19,1,174.2845740266976,47.24553914432208,2718.4302697324215,2159.301825082641,897.6423391398937,1898.2741071335138,-0.0007812245508692084,-0.0004330025669735879,0.0011177995977502686,0.0005853918539745116,0.0,False,-2665.33064981873
20,1,124.58411187540909,73.64900038520582,913.0106988269441,1721.072883580166,147.32577901411435,912.3452630839523,-7.609475617324432e-05,-0.000579358139609026,0.00018301977319975377,0.0002677546780587222,0.0,False,-3144.7532999358027
21,1,131.5408012068673,67.28006513406478,1301.4558733241188,2053.672196559981,195.8565073583494,994.850107676358,-0.0001837519382945213,-0.0006518989405194103,0.00024397926777702805,0.0002639543041878485,0.0,False,-3075.6513544931945
22,1,165.36040316661024,50.430166568401106,2517.2959861500285,2199.3128553785104,743.1017146638005,1619.349062790259,-0.0006861816666266507,-0.00048821386384975685,0.0009252056865930655,0.0004730742049193913,0.0,False,-2771.5674986812746
23,1,106.03338359376677,80.7431688620357,326.22398682319425,1765.161756468864,-143.522693310971,1337.7811825033857,0.0001875361095660423,-0.0007082964347564641,-0.00017907520246400726,0.0004567778113056885,0.0,False,-2889.543914423079
24,1,167.70337143099465,48.706636958154604,2628.4798894306805,2279.21152233366,788.7991325469217,1709.245713300318,-0.0007196707549132694,-0.0005022684988924969,0.00098218072027308,0.0005029768156185402,0.0,False,-2728.469648464633
25,1,127.70415713492633,72.61383013380663,1001.2742650867277,1679.1576777444184,192.98416710845447,862.4162122414799,-0.0001226959670546264,-0.0005445837936904271,0.00024004465068673542,0.00024269877038563477,0.0,False,-3160.129590957804
