# units: Imperial
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,188.35226456125022,54.710590102854354,1449.8959236923845,442.1121570966806,665.0436384392445,1493.906957061496,-0.0005491891545570254,7.811220841850292e-05,0.0008279212161561127,0.0005193651268983056,0.0,False,-247.8710303071465
2,1,186.26893122788348,55.75225676953772,1338.8352523915937,416.5483989102324,610.8735779710964,1371.391350198166,-0.0005055715604986161,6.85117095639981e-05,0.0007604842244313265,0.00047642099465039863,0.0,False,-316.8624304607996
3,1,185.2991036419005,51.06475676946253,2014.791449739287,1013.1149572167756,716.3856701592682,1630.604434053276,-0.0006886978146747472,-6.519796297291616e-05,0.0008918375592119215,0.0005440878369099246,0.0,False,-208.15304580002487
4,1,187.5979542165968,51.06475676946253,1949.6906069515478,884.2340967683864,745.0876095842956,1684.669103486214,-0.0006843989248677129,-2.1198798826008863e-05,0.0009275689657261797,0.0005701356402997595,0.0,False,-166.3062478156454
5,1,195.51005747127215,50.52083333334169,1670.625332441866,631.8189591727013,840.3101550109717,1771.9346684744633,-0.0007137557881305404,0.00014048739854970876,0.0013216540764065827,0.000786845111771015,0.00017250754410331524,False,-94.37415322564834
6,1,197.80890804596848,50.52083333334169,1721.596745056846,479.2960728645521,869.5517835149176,1902.524980277029,-0.003090569588437689,0.0025425857410260808,0.006793513669032582,0.004412603169819336,0.0037695176374394263,False,-13.631391132520548
7,1,52.316362114487035,73.19572121914737,1289.3509985070186,3284.065267427324,-409.33499945621645,2079.2966695437367,0.0017136546977537734,-0.0028524353638394147,-0.0015058797981455162,0.002403999397724699,0.0017351998473551285,False,-4.161848727999995
8,1,76.43466855213542,73.50249793062565,1062.3862319407851,3024.4482589704903,-277.4381932468068,1945.834023727146,0.0009639125834139187,-0.0019812632348732984,-0.0007610389014242919,0.0015209570021950712,0.0008866090496023603,False,-62.744436588567964
9,1,21.935475725422112,73.80852947862789,1453.456114183855,3537.978324351775,-291.52098352912174,2123.0028521603012,0.00514449357136419,-0.006421785115372003,-0.0030257393799793964,0.0059777483523230975,0.0052040908571988,True,0.011683905373502057
10,1,190.2404915244294,52.751692577128225,1675.609988916076,577.9841507497104,733.3308825306214,1649.2594920541374,-0.0006209479063774559,6.467869995320681e-05,0.0009042337234358763,0.0005673892997552937,0.0,False,-166.29813399132343
11,1,48.84512525493269,73.14676231769836,1323.2670676456275,3323.314557146785,-413.686088414198,2092.171083174502,0.0017793877895861676,-0.0029359675881740228,-0.0015451788985072596,0.002481035780020315,0.001809966138659252,False,-0.03868636365268685
12,1,69.5103545692713,73.36843607983796,1138.6490906046952,3105.826673225408,-328.5778220922732,1986.6690381330384,0.0012150951612779348,-0.002271676431056512,-0.0010197966412803755,0.0018164223990221292,0.0011716691588011308,False,-45.231171370742004
13,1,83.47262895565466,73.8312695822298,953.2442893225264,2913.2550632027355,-220.2603531498252,1903.8824108980732,0.0006968255110749999,-0.001659539992424533,-0.0005079461471153611,0.0012052455843573901,0.0005797925217220218,False,-77.79840461947299
14,1,90.06773959595104,75.53494158201141,683.5635979399792,2642.950932158225,-179.8421568858738,1849.0691185186754,0.00038797795352434744,-0.0012190578512087241,-0.00029668589940871903,0.0008170964754241128,0.00019697572032634857,False,-86.18738811948481
15,1,66.06690019321114,73.3270492578981,1170.301691448867,3142.149004293733,-350.35036826966297,2007.0530014547787,0.0013357780359451524,-0.002409343451226835,-0.0011438654929365219,0.0019579557719473792,0.0013075776629168008,False,-35.92855222505477
16,1,87.13121207459481,74.2644230153007,861.9780015996853,2823.841281721598,-190.64826884076302,1881.257953132981,0.0005451708422911164,-0.0014630544311728041,-0.00038671005061135036,0.0010225597063525278,0.0004013500875024673,False,-82.96451430139871
17,1,62.631108237489926,73.29331604763529,1200.0356554690798,3177.252306041487,-370.1381799462532,2027.1832860293525,0.0014515857451322875,-0.002541268539186707,-0.0012617320542838936,0.0020937319021672764,0.0014376820957598005,False,-26.623925969510765
18,1,55.76267611579199,73.23182206074594,1258.018560410075,3246.327749397308,-400.70342995258414,2063.5612946391025,0.0016427181701427068,-0.0027641316120859986,-0.0014481779943097024,0.0023193503673621663,0.0016537125507613713,False,-10.38047600771165
19,1,72.96408688811798,73.42358905223278,1102.7520117198105,3066.6411682513713,-304.3364188257524,1966.1792927897861,0.001092964516519919,-0.0021308243429942935,-0.0008924024133690365,0.0016725128309010686,0.0010327691914074327,False,-54.225882847270896
20,1,45.31673240029598,73.06556662320666,1365.2053489784155,3368.4860437393686,-409.66776757880706,2099.9158468710284,0.001852792795061009,-0.0030286509990845815,-0.0015687516280094218,0.0025636631597084234,0.001895569305320365,False,-0.07223137037590277
21,1,79.93092135765188,73.62398614423682,1014.5912073431534,2974.3715400342426,-249.64702784071235,1924.5773774597335,0.0008313589751135775,-0.0018242828003894318,-0.0006321511261336583,0.0013649220019902994,0.0007358793305961192,False,-71.05951948446159
