# units: Imperial
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,0.0,0.0,2.0,0.0,124.44506333709526,200.0,200.0,0.6222253166854763,False,False
1,1,2.0,0.0,3.9999999999976312,0.0,366.3947905929175,599.9999999997631,599.9999999997631,0.6106579843217703,False,False
2,1,3.9999999999976312,0.0,5.999999999991889,0.0,489.2496034673513,800.0,600.0,0.6115620043341891,False,False
3,1,5.999999999991889,0.0,7.999999999986012,0.0,695.8691325591302,800.0,600.0,0.8698364156989128,False,False
4,1,7.999999999986012,0.0,9.999999999980135,0.0,800.0,800.0,600.0,1.0,True,False
5,1,9.999999999980135,0.0,11.999999999984123,0.0,800.0,800.0,600.0,1.0,True,False
6,1,11.999999999984123,0.0,13.999999999997977,0.0,800.0,800.0,600.0,1.0,True,False
7,1,13.999999999997977,0.0,16.000000000011447,0.0,800.0,800.0,600.0,1.0,True,False
8,1,16.000000000011447,0.0,18.000000000005876,0.0,599.9999999982676,599.9999999982676,599.9999999982676,1.0,True,False
9,1,18.000000000005876,0.0,20.0,0.0,199.99999999941238,199.99999999941238,199.99999999941238,1.0,True,False
10,2,5.0,4.0,7.0,4.0,62.41131566639524,200.0,200.0,0.3120565783319762,False,False
11,2,7.0,4.0,9.0,4.0,323.3772453771522,600.0,600.0,0.538962075628587,False,False
12,2,9.0,4.0,11.0,4.0,648.4439245360107,800.0,600.0,0.8105549056700134,False,False
13,2,11.0,4.0,13.0,4.0,800.0,800.0,600.0,1.0,True,False
14,2,13.0,4.0,15.0,4.0,800.0,800.0,600.0,1.0,True,False
15,2,15.0,4.0,17.0,4.0,800.0,800.0,600.0,1.0,True,False
16,2,17.0,4.0,19.0,4.0,800.0,800.0,600.0,1.0,True,False
17,2,19.0,4.0,21.0,4.0,800.0,800.0,600.0,1.0,True,False
18,2,21.0,4.0,23.0,4.0,600.0,600.0,600.0,1.0,True,False
19,2,23.0,4.0,25.0,4.0,200.0,200.0,200.0,1.0,True,False
20,3,10.0,8.0,12.0,8.0,49.10580571415579,200.0,200.0,0.24552902857077896,False,False
21,3,12.0,8.0,14.0,8.0,367.17158849839393,600.0,600.0,0.6119526474973233,False,False
22,3,14.0,8.0,16.0,8.0,738.4411592427753,800.0,600.0,0.923051449053469,False,False
23,3,16.0,8.0,18.0,8.0,800.0,800.0,600.0,1.0,True,False
24,3,18.0,8.0,20.0,8.0,800.0,800.0,600.0,1.0,True,False
25,3,20.0,8.0,22.0,8.0,600.0,800.0,600.0,0.75,True,True
26,3,22.0,8.0,24.0,8.0,800.0,800.0,600.0,1.0,True,False
27,3,24.0,8.0,26.0,8.0,800.0,800.0,600.0,1.0,True,False
28,3,26.0,8.0,28.0,8.0,600.0,600.0,600.0,1.0,True,False
29,3,28.0,8.0,30.0,8.0,200.0,200.0,200.0,1.0,True,False
30,4,15.0,12.0,17.0,12.0,71.40745818606575,200.0,200.0,0.35703729093032877,False,False
31,4,17.0,12.0,19.0,12.0,513.3806478891856,600.0,600.0,0.8556344131486427,False,False
32,4,19.0,12.0,21.0,12.0,786.7023609077605,800.0,600.0,0.9833779511347006,False,False
33,4,21.0,12.0,23.0,12.0,800.0,800.0,600.0,1.0,True,False
34,4,23.0,12.0,25.0,12.0,800.0,800.0,600.0,1.0,True,False
35,4,25.0,12.0,27.0,12.0,600.0,800.0,600.0,0.75,True,True
36,4,27.0,12.0,29.0,12.0,600.0,800.0,600.0,0.75,True,True
37,4,29.0,12.0,31.0,12.0,800.0,800.0,600.0,1.0,True,False
38,4,31.0,12.0,33.0,12.0,600.0,600.0,600.0,1.0,True,False
39,4,33.0,12.0,35.0,12.0,200.0,200.0,200.0,1.0,True,False
40,5,20.0,16.0,22.0,16.0,45.24565126256874,200.0,200.0,0.2262282563128437,False,False
41,5,22.0,16.0,24.0,16.0,570.6128010241684,600.0,600.0,0.9510213350402807,False,False
42,5,24.0,16.0,26.0,16.0,800.0,800.0,600.0,1.0,True,False
43,5,26.0,16.0,28.0,16.0,800.0,800.0,600.0,1.0,True,False
44,5,28.0,16.0,30.0,16.0,800.0,800.0,600.0,1.0,True,False
45,5,30.0,16.0,32.0,16.0,600.0,800.0,600.0,0.75,True,True
46,5,32.0,16.0,34.0,16.0,600.0,800.0,600.0,0.75,True,True
47,5,34.0,16.0,36.0,16.0,800.0,800.0,600.0,1.0,True,False
48,5,36.0,16.0,38.0,16.0,600.0,600.0,600.0,1.0,True,False
49,5,38.0,16.0,40.0,16.0,200.0,200.0,200.0,1.0,True,False
50,6,25.0,20.0,27.0,20.0,79.8854203026167,200.0,200.0,0.39942710151308347,False,False
51,6,27.0,20.0,29.0,20.0,513.9254890763923,600.0,600.0,0.8565424817939872,False,False
52,6,29.0,20.0,31.0,20.0,800.0,800.0,600.0,1.0,True,False
53,6,31.0,20.0,33.0,20.0,800.0,800.0,600.0,1.0,True,False
54,6,33.0,20.0,35.0,20.0,800.0,800.0,600.0,1.0,True,False
55,6,35.0,20.0,37.0,20.0,800.0,800.0,600.0,1.0,True,False
56,6,37.0,20.0,39.0,20.0,800.0,800.0,600.0,1.0,True,False
57,6,39.0,20.0,41.0,20.0,752.6406698249489,800.0,600.0,0.9408008372811861,False,False
58,6,41.0,20.0,43.0,20.0,600.0,600.0,600.0,1.0,True,False
59,6,43.0,20.0,45.0,20.0,200.0,200.0,200.0,1.0,True,False
