# units: Imperial
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,0.0,0.0,-0.07766090535218008,0.005338655891972453,0.07784418711023428,-0.07144536024200564,0.01213497210552337,0.07246859352927854
2,5.0,4.0,-0.14891306052826966,-0.034152726059921104,0.15277927965931806,-0.14002544878674236,-0.02238570660375922,0.14180354779792428
3,10.0,8.0,-0.1847283080094862,-0.0690626628193464,0.19721612301165017,-0.17600054435592283,-0.05058609679469161,0.1831260352940102
4,15.0,12.0,-0.1980419294546,-0.10197816321982248,0.22275581158701452,-0.1909663612546592,-0.07541111123349137,0.20531679626449223
5,20.0,16.0,-0.19077140934049008,-0.13161330877204466,0.23176667937320583,-0.18625957785345504,-0.09610192775148445,0.2095905791291651
6,25.0,20.0,-0.17001705003998724,-0.16339342292163037,0.23580332473980575,-0.16845984631275693,-0.11885551892220239,0.20616826670946162
7,30.0,24.0,-0.14597085086314035,-0.1968822523361777,0.24509204513136593,-0.14786084401015123,-0.14421215568031998,0.20654291330703922
8,32.0,24.0,-0.1471860185114175,-0.20816760837692402,0.25494602805812006,-0.14863754330964257,-0.1528878826293502,0.2132318548810469
9,27.0,20.0,-0.1699385396764535,-0.1767200101380166,0.24517150986716676,-0.1680533425820199,-0.12898194975702926,0.2118449180795106
10,22.0,16.0,-0.19030725964086384,-0.1447480558435644,0.23910008938205524,-0.1854196869997267,-0.1058289654612139,0.21349526987188128
11,17.0,12.0,-0.19772079491178532,-0.1160791123311396,0.22927684806829843,-0.19023818736038448,-0.08626123663752339,0.2088817102486466
12,12.0,8.0,-0.18443313207857362,-0.08496987895905964,0.20306516328171562,-0.17525814086599048,-0.06366537086410118,0.18646365701408654
13,7.0,4.0,-0.14969179248113115,-0.04944580021806187,0.15764682012466513,-0.1402858206441993,-0.03546062646256394,0.1446981945393029
14,2.0,0.0,-0.07348012917576228,-0.012414375620917626,0.07452144728696528,-0.06607468086345042,-0.004064789105089521,0.06619959185429829
15,-30.0,0.0,0.0,-0.004672469956666471,0.004672469956666471,0.0,2.3455128644016797e-05,2.3455128644016797e-05
16,100.0,24.0,0.0,-0.06235407613042337,0.06235407613042337,0.0,-1.3312449632096879e-05,1.3312449632096879e-05
17,100.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-30.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4.0,0.0,-0.06412261208835425,-0.01010553963264598,0.06491403016529272,-0.05596202133641958,-0.0002545612889116051,0.055962600310454594
20,16.0,0.0,-0.02155242067353864,-0.02301504292406777,0.031530921928891606,-0.011747162417010263,-0.004371485572976501,0.012534181703101327
21,20.0,0.0,-0.019647747880347174,-0.026223174476859304,0.03276719207398602,-0.010080271928910475,-0.0050756359084666546,0.011286007355840977
22,9.0,4.0,-0.14107805655146133,-0.05102623362719164,0.1500223135354007,-0.1312228332659342,-0.034836536742816684,0.1357682446766282
23,21.0,4.0,-0.05616998727387364,-0.0455495385879348,0.07231754929421272,-0.045777053348015226,-0.017619301841413727,0.04905077380231506
24,25.0,4.0,-0.03189180335118568,-0.042045639630106824,0.05277236902864517,-0.022039704100997305,-0.011075936192165098,0.024666270885410103
25,14.0,8.0,-0.17506714334850235,-0.08584255296527983,0.1949806364227021,-0.16553963605558664,-0.06179856242137867,0.17669870803932075
26,26.0,8.0,-0.08420051099655439,-0.07709743200341586,0.11416540664142623,-0.07484680205365166,-0.039534390885847585,0.08464639295547981
27,30.0,8.0,-0.05102491864062313,-0.06730817663025321,0.08446261281520702,-0.04239145928753786,-0.026612887902747066,0.05005278836439745
28,19.0,12.0,-0.1886313912925108,-0.11833131204656319,0.22267487777387335,-0.1808573594143578,-0.08543993544400369,0.20002341618672978
29,31.0,12.0,-0.088516431010164,-0.10539495386785733,0.1376344973456324,-0.08129382154446733,-0.0586523197261636,0.10024360343964009
30,35.0,12.0,-0.05620442605058396,-0.08846365113120262,0.10480818231005959,-0.04970065584319693,-0.03897913570784173,0.06316271219457131
31,24.0,16.0,-0.18253144736049198,-0.1516348192069716,0.23729906799531897,-0.17739449299562088,-0.10959123070469626,0.20851629191155147
32,36.0,16.0,-0.08136816953868148,-0.12224756179344218,0.14685109934391732,-0.07674448770065946,-0.06772944752788874,0.10235719053818206
33,40.0,16.0,-0.05201451483156895,-0.09578397222047028,0.10899577554885019,-0.047833740993815765,-0.039371444741451704,0.061953026064048206
34,29.0,20.0,-0.16276158606537464,-0.18534233099576275,0.24666396890802522,-0.1606517560098784,-0.13476755754471606,0.20969330288692067
35,41.0,20.0,-0.07543554221366582,-0.12223500709972486,0.1436381494928821,-0.07296645461548582,-0.06241296939334652,0.09601813499359671
36,45.0,20.0,-0.04925942404350334,-0.09904121921541359,0.11061489032120986,-0.04670677639828084,-0.03821394137524905,0.06034756231157953
37,1.2499999999974385,0.9999999999979509,-0.11793529608668119,-0.008098318996212061,0.11821301465413006,-0.11048412192465289,-0.0001764550878231106,0.11048426283348947
38,2.4999999999951337,1.999999999996107,-0.13772741090703858,-0.011859697885340756,0.13823708673539023,-0.12959783819481382,-0.0027903196233436383,0.1296278733466285
39,3.7499999999975557,2.9999999999980447,-0.1459693130525492,-0.024419186878363912,0.14799776025613892,-0.1373903821992755,-0.014058718867542147,0.1381078010000144
40,6.25,5.0,-0.17103151778797437,-0.042433903750965014,0.1762169579365288,-0.1620399022714401,-0.029141575236644353,0.1646394889915869
41,7.5,6.0,-0.1820609241866988,-0.04867489828792876,0.1884553682946047,-0.17306100223590207,-0.033748927100076376,0.1763210156938224
42,8.75,7.0,-0.1856284165533359,-0.06045639101522206,0.19522521416734115,-0.1767247717111339,-0.04379870237653372,0.1820713356523222
43,11.25,9.0,-0.19654124306677923,-0.07715586479068678,0.21114328712472374,-0.18813748343963216,-0.05676821909606116,0.19651550415765232
44,12.5,10.0,-0.2020062403750062,-0.08398919533339998,0.2187708986204445,-0.19398454603986323,-0.061608675928870704,0.2035328795354707
45,13.75,11.0,-0.20155190338875054,-0.09398661685844106,0.2223885201806146,-0.19398049802380102,-0.0695420863871056,0.20606924902234572
46,16.250000000016183,13.000000000012946,-0.20054903493813026,-0.10978926219844513,0.22863420021662184,-0.1940763816326515,-0.08103999203706422,0.21031671882422953
47,17.50000000001079,14.000000000008631,-0.19983822803691456,-0.11670012986214481,0.23141788542542543,-0.19399249204721605,-0.08572312701420061,0.21208852273468726
48,18.750000000005393,15.000000000004317,-0.1958224741660713,-0.12444768156734756,0.23202083276294308,-0.19063736571575643,-0.09121127157752155,0.2113340986916959
49,21.25,17.0,-0.18635687067710963,-0.13934630176279783,0.2326935217481004,-0.18258794325724284,-0.10154844418840704,0.20892688563226167
50,22.5,18.0,-0.1818073019813216,-0.14704309496977178,0.233828071095018,-0.17877490352646103,-0.10696590509572344,0.2083318770227993
51,23.75,19.0,-0.17603274677728717,-0.15497950816254727,0.2345339546595792,-0.17374251418578293,-0.112648707775316,0.20706567218891095
52,26.25,21.0,-0.1641693854998886,-0.17186661049666305,0.23767565912188554,-0.16339400406874355,-0.12518033505750809,0.20583419747633427
