# units: Imperial
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,0.0,0.0,2.0,0.0,200.0,200.0,200.0,1.0,True,False
1,1,2.0,0.0,4.0,0.0,366.06378236390515,600.0,600.0,0.6101063039398419,False,False
2,1,4.0,0.0,5.999999999990106,0.0,425.91577719577873,800.0,600.0,0.5323947214947234,False,False
3,1,5.999999999990106,0.0,7.999999999980446,0.0,509.96577266825,800.0,600.0,0.6374572158353125,False,False
4,1,7.999999999980446,0.0,9.999999999985238,0.0,544.9646259364168,800.0,600.0,0.6812057824205211,False,False
5,1,9.999999999985238,0.0,11.999999999990148,0.0,486.0367441345962,800.0,600.0,0.6075459301682452,False,False
6,1,11.999999999990148,0.0,13.999999999995074,0.0,399.1855764697968,800.0,600.0,0.49898197058724597,False,False
7,1,13.999999999995074,0.0,16.0,0.0,293.58303243800424,800.0,600.0,0.3669787905475053,False,False
8,1,16.0,0.0,18.0,0.0,172.10039250212404,600.0,600.0,0.28683398750354006,False,False
9,1,18.0,0.0,20.0,0.0,106.46696865797209,200.0,200.0,0.5323348432898605,False,False
10,2,5.0,4.0,7.0,4.0,0.0,200.0,200.0,0.0,False,False
11,2,7.0,4.0,9.0,4.0,362.25928103470807,600.0,600.0,0.6037654683911801,False,False
12,2,9.0,4.0,10.999999999984844,4.0,541.2686642383252,800.0,600.0,0.6765858302979065,False,False
13,2,10.999999999984844,4.0,12.999999999987498,4.0,642.2243961332501,800.0,600.0,0.8027804951665627,False,False
14,2,12.999999999987498,4.0,14.999999999990614,4.0,664.1445732554776,800.0,600.0,0.8301807165693469,False,False
15,2,14.999999999990614,4.0,16.99999999999373,4.0,709.6813622526568,800.0,600.0,0.8871017028158209,False,False
16,2,16.99999999999373,4.0,18.999999999996867,4.0,761.695472418351,800.0,600.0,0.9521193405229387,False,False
17,2,18.999999999996867,4.0,21.0,4.0,787.110589840441,800.0,600.0,0.9838882373005512,False,False
18,2,21.0,4.0,23.0,4.0,600.0,600.0,600.0,1.0,True,False
19,2,23.0,4.0,25.0,4.0,200.0,200.0,200.0,1.0,True,False
20,3,10.0,8.0,12.0,8.0,37.16533910749442,200.0,200.0,0.18582669553747208,False,False
21,3,12.0,8.0,14.0,8.0,367.156330593299,600.0,600.0,0.6119272176554983,False,False
22,3,14.0,8.0,15.999999999984844,8.0,520.376476366353,800.0,600.0,0.6504705954579413,False,False
23,3,15.999999999984844,8.0,17.999999999987498,8.0,626.1121128707888,800.0,600.0,0.782640141088486,False,False
24,3,17.999999999987498,8.0,19.999999999990614,8.0,687.405640524455,800.0,600.0,0.8592570506555687,False,False
25,3,19.999999999990614,8.0,21.99999999999373,8.0,686.2897826655068,800.0,600.0,0.8578622283318835,False,False
26,3,21.99999999999373,8.0,23.999999999996867,8.0,671.9025653852203,800.0,600.0,0.8398782067315254,False,False
27,3,23.999999999996867,8.0,26.0,8.0,608.752371131469,800.0,600.0,0.7609404639143362,False,False
28,3,26.0,8.0,28.0,8.0,574.4134771565012,600.0,600.0,0.9573557952608354,False,False
29,3,28.0,8.0,30.0,8.0,200.0,200.0,200.0,1.0,True,False
30,4,15.0,12.0,17.0,12.0,23.16661167206302,200.0,200.0,0.1158330583603151,False,False
31,4,17.0,12.0,19.0,12.0,370.5760562077076,600.0,600.0,0.6176267603461794,False,False
32,4,19.0,12.0,20.999999999999993,12.0,556.094880984834,800.0,600.0,0.6951186012310425,False,False
33,4,20.999999999999993,12.0,22.999999999999986,12.0,687.6050554276771,800.0,600.0,0.8595063192845964,False,False
34,4,22.999999999999986,12.0,24.999999999999982,12.0,755.0378737967114,800.0,600.0,0.9437973422458893,False,False
35,4,24.999999999999982,12.0,26.999999999999975,12.0,769.7369020661954,800.0,600.0,0.9621711275827443,False,False
36,4,26.999999999999975,12.0,28.999999999999986,12.0,727.5906205257161,800.0,600.0,0.9094882756571451,False,False
37,4,28.999999999999986,12.0,31.0,12.0,624.1752689999291,800.0,600.0,0.7802190862499114,False,False
38,4,31.0,12.0,33.0,12.0,476.91597949172217,600.0,600.0,0.794859965819537,False,False
39,4,33.0,12.0,35.0,12.0,200.0,200.0,200.0,1.0,True,False
40,5,20.0,16.0,22.0,16.0,28.80568866078681,200.0,200.0,0.14402844330393405,False,False
41,5,22.0,16.0,24.0,16.0,324.60430989883713,600.0,600.0,0.5410071831647285,False,False
42,5,24.0,16.0,25.99999999998034,16.0,506.87268966278293,800.0,600.0,0.6335908620784787,False,False
43,5,25.99999999998034,16.0,27.99999999996068,16.0,639.2226407672952,800.0,600.0,0.7990283009591189,False,False
44,5,27.99999999996068,16.0,29.999999999941018,16.0,738.8867886668287,800.0,600.0,0.9236084858335358,False,False
45,5,29.999999999941018,16.0,31.999999999921823,16.0,762.8387536142552,800.0,600.0,0.953548442017819,False,False
46,5,31.999999999921823,16.0,33.99999999996045,16.0,713.1281174041824,800.0,600.0,0.891410146755228,False,False
47,5,33.99999999996045,16.0,36.0,16.0,581.8505046157225,800.0,600.0,0.7273131307696531,False,False
48,5,36.0,16.0,38.0,16.0,521.4327950049358,600.0,600.0,0.8690546583415596,False,False
49,5,38.0,16.0,40.0,16.0,200.0,200.0,200.0,1.0,True,False
50,6,25.0,20.0,27.0,20.0,0.0,200.0,200.0,0.0,False,False
51,6,27.0,20.0,29.0,20.0,248.0261989288146,600.0,600.0,0.41337699821469104,False,False
52,6,29.0,20.0,30.999999999985196,20.0,448.5758828252481,800.0,600.0,0.5607198535315601,False,False
53,6,30.999999999985196,20.0,32.99999999994079,20.0,601.0624756629827,800.0,600.0,0.7513280945787284,False,False
54,6,32.99999999994079,20.0,34.99999999986816,20.0,660.110805701905,800.0,600.0,0.8251385071273812,False,False
55,6,34.99999999986816,20.0,36.99999999991118,20.0,562.8401383389773,800.0,600.0,0.7035501729237217,False,False
56,6,36.99999999991118,20.0,38.99999999995559,20.0,502.3606291604719,800.0,600.0,0.6279507864505899,False,False
57,6,38.99999999995559,20.0,41.0,20.0,455.6527928398257,800.0,600.0,0.5695659910497821,False,False
58,6,41.0,20.0,43.0,20.0,451.0144224559587,600.0,600.0,0.7516907040932646,False,False
59,6,43.0,20.0,45.0,20.0,200.0,200.0,200.0,1.0,True,False
