node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1,0.0,0.0,1.0704288516147292e-06,-1.0992688562384843e-07,1.076058477292097e-06,1.0704288516147291,-0.10992688562384845,1.076058477292097,-1.4996987197356176e-08,9.463569963208069e-07
2,2.5648048515872572,-0.3451588204837691,-2.1719349828013017e-07,-1.42105175196402e-07,2.595513369504403e-07,-0.2171934982801302,-0.142105175196402,0.25955133695044036,-4.235164736271502e-22,1.981376837549689e-06
3,4.304587568023992,-17.60760972038871,-4.737623299829807e-11,-1.201899241398839e-10,1.291902678914324e-10,-0.04737623299829807,-0.12018992413988389,0.1291902678914324,0.0,1.981775141715041e-06
4,4.550818261071293,-15.192825313673826,4.285670150405152e-11,-1.5781904827385561e-10,1.6353454944406378e-10,0.04285670150405152,-0.15781904827385562,0.1635345494440638,-6.203854594147708e-25,1.981775747679352e-06
5,5.1,0.0,2.4609128103223515e-07,-2.8747876776866186e-07,3.7842431279963335e-07,0.2534238706149368,-0.3274551348622265,0.414065844456042,1.1014383281563914e-07,1.929799855072666e-06
6,5.1,50.015699999999995,4.668533905298014e-11,4.951725606616719e-11,6.80549743282156e-11,4.668533905298015e-05,4.951725606616719e-05,6.805497432821561e-05,-5.062183683441239e-13,9.464387434350313e-07
7,0.1529411764702755,0.0,3.5565237893698396e-07,-2.0140277185834426e-08,3.562221854526445e-07,0.3556523789369839,-0.020140277185834433,0.3562221854526445,-2.989293271976268e-08,1.0361752929735274e-06
8,0.30588235294060967,0.0,-1.2191130556370305e-07,8.252866739213294e-09,1.2219032790553347e-07,-0.12191130556370305,0.0082528667392133,0.12219032790553346,-2.9607700486458995e-08,1.1254062218917405e-06
9,0.45882352941078786,0.0,6.46015031411193e-08,-2.7919873720317174e-07,2.8657510196096553e-07,0.06460150314111929,-0.2791987372031717,0.2865751019609655,-2.91373634841698e-08,1.2134815544582812e-06
10,0.6117647058809251,0.0,-2.3838618886009935e-07,-8.976547212272082e-08,2.547269420863406e-07,-0.2383861888600994,-0.08976547212272086,0.25472694208634067,-2.848891473200438e-08,1.2998973974304207e-06
11,0.7647058823510381,0.0,-2.9678699667784453e-07,-7.867889212777175e-08,3.0703890545582075e-07,-0.29678699667784453,-0.07867889212777175,0.30703890545582074,-2.7668747626168752e-08,1.3841042593878137e-06
12,0.9176470588212003,0.0,-2.262541831749663e-07,1.8662002300907484e-07,2.932882343226179e-07,-0.2262541831749664,0.18662002300907488,0.293288234322618,-2.6673631304299077e-08,1.4655836602669035e-06
13,1.07058823529133,0.0,-2.4063075325882837e-07,1.889232885105325e-07,3.0593327435168777e-07,-0.2406307532588284,0.18892328851053253,0.30593327435168777,-2.5505747710906017e-08,1.5438176521569258e-06
14,1.2235294117614581,0.0,-3.053905538044221e-07,-8.863295753983825e-08,3.1799243939947753e-07,-0.3053905538044221,-0.0886329575398383,0.3179924393994776,-2.4160429665567673e-08,1.6182832017546561e-06
15,1.376470588232009,0.0,-2.447888125561455e-07,1.7894051216053224e-07,3.032181881829013e-07,-0.2447888125561455,0.17894051216053228,0.30321818818290125,-2.2631288682843656e-08,1.6884391784933688e-06
16,1.5294117647030063,0.0,-3.095039397566774e-07,-9.638959405951935e-08,3.241660725120134e-07,-0.30950393975667745,-0.09638959405951941,0.32416607251201346,-2.0904915841053765e-08,1.7537149312093509e-06
17,1.6823529411740563,0.0,-2.7698848390979274e-07,1.6797498621032352e-07,3.239416864360064e-07,-0.27698848390979275,0.1679749862103235,0.3239416864360064,-1.895398195174759e-08,1.8134801373619826e-06
18,1.8352941176450592,0.0,-2.5379994025430587e-07,-1.446289939340448e-07,2.921163390833577e-07,-0.2537999402543059,-0.14462899393404482,0.2921163390833577,-1.6725438100411984e-08,1.8669820582329834e-06
19,1.9882352941160415,0.0,-2.646855442158241e-07,1.444760918431091e-07,3.0154896522967124e-07,-0.2646855442158241,0.14447609184310908,0.30154896522967123,-1.4125732671961677e-08,1.913221511801324e-06
20,2.1411764705870193,0.0,-2.814345435745988e-07,1.5854494620127542e-07,3.2301997195685605e-07,-0.28143454357459885,0.15854494620127543,0.3230199719568561,-1.093111329049214e-08,1.9507941637960955e-06
21,2.2941176470579765,0.0,-2.400643502660069e-07,-1.682446210183061e-07,2.931503791064127e-07,-0.24006435026600692,-0.16824462101830617,0.2931503791064128,-7.255700875375562e-09,1.976926444276975e-06
22,2.4403760168255118,-0.06553828534080716,-3.0270964864225393e-07,1.126126922821932e-07,3.229779401819275e-07,-0.30270964864225397,0.11261269228219319,0.32297794018192755,1.0587911840678754e-22,1.981153823880248e-06
23,2.6731652008492524,-0.7126563752687888,-1.9589756073777111e-07,-1.3538848529972434e-07,2.3812999864519883e-07,-0.199305866304919,-0.13521455006493413,0.2408439388749836,-9.529120656610879e-22,1.9816495613482118e-06
24,2.7742324617040026,-1.1516772480651438,-2.2460871494737638e-07,8.158574592027164e-08,2.389671708994332e-07,-0.23581170160781018,0.0825915562051739,0.2498570066489297,-4.235164736271502e-22,1.981792358460596e-06
25,2.868548088828785,-1.6569113928512953,-1.8174520296011024e-07,7.347222581806845e-08,1.96034401995346e-07,-0.2043815972868779,0.07787695515215239,0.21871592866845774,8.470329472543003e-22,1.9821148522610485e-06
26,2.9579491381093685,-2.210342802554017,-1.556240391401696e-07,-8.554317178989725e-08,1.7758512268255165e-07,-0.18982397048954192,-0.09349718074198099,0.21160071497779287,-2.117582368135751e-22,1.9820042116048573e-06
27,3.043233450520376,-2.804147050736673,-1.748106236986172e-07,5.597276086554527e-08,1.8355300083848006e-07,-0.2230353340421183,0.06618651001480814,0.23264869296692728,-8.470329472543003e-22,1.9820282984448043e-06
28,3.123642538094192,-3.4457626288976635,-1.195345718993575e-07,-7.874952906042581e-08,1.431432925651828e-07,-0.1691052279099322,-0.09535920048684726,0.19413901005197498,4.235164736271502e-22,1.982090883302726e-06
