node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,0.0,8.0,0.0,-0.10543467050959797,0.10543467050959797,0.0,-0.00026271308956375694,0.00026271308956375694
2,15.0,8.0,-0.1180897572009349,-0.17925715148183632,0.2146586059610883,-0.006814993619655457,0.024704552181625455,0.02562731036473784
3,25.0,22.0,-36.344641797419946,-47.07347697643551,59.47138153796134,-36.410060121455366,-46.336168297351485,58.92989878260843
4,40.0,22.0,0.0,-0.925127598009857,0.925127598009857,0.0,-0.02923883388281967,0.02923883388281967
5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.8823529411760301,8.0,-0.004846082384408718,-0.10536970540863953,0.10548108518772432,2.6325581408917324e-05,-0.00025898018071153495,0.00026031475224792166
8,1.764705882352865,8.0,-0.009708733578081226,-0.10517726631439946,0.10562441411463672,4.832442542661644e-05,-0.0002465049629064714,0.0002511970279090369
9,2.6470588235286976,8.0,-0.01460557530817183,-0.10486869514899579,0.1058809050411626,6.11808216215981e-05,-0.00022144077993328792,0.00022973704958442523
10,3.5294117647043644,8.0,-0.019546947830485707,-0.10446337794542444,0.106276434364615,6.072551566971632e-05,-0.00017708074330903545,0.00018720357342805576
11,4.41176470587894,8.0,-0.02453908036351387,-0.10399347013186647,0.10684946558197844,4.302370847651324e-05,-0.00010349774010279256,0.00011208399393962187
12,5.294117647051996,8.0,-0.02958196710518377,-0.10350985201479886,0.10765399315370394,4.682848871038342e-06,1.32411589248288e-05,1.4044834040370804e-05
13,6.176470588225051,8.0,-0.034668116166550245,-0.1030889143066866,0.10876213739840163,-5.608618765028106e-05,0.0001918854416458754,0.00019991418949333035
14,7.058823529398107,8.0,-0.039782357234291285,-0.10284171915002137,0.1102681057461705,-0.00013876323573819294,0.00045678341184635096,0.0004773953507634175
15,7.941176470573773,8.0,-0.04490481534226962,-0.10292721375637723,0.11229627675294628,-0.00023874931735656801,0.0008395384368530684,0.0008728264566865058
16,8.823529411752052,8.0,-0.05001630747381484,-0.10356801102396399,0.11501288589012586,-0.000344285472097465,0.0013811233788670607,0.0014233883075080182
17,9.705882352930331,8.0,-0.05510135712772411,-0.10507185846156528,0.11864339424461945,-0.00043120916916665475,0.0021345966446938425,0.0021777153586067226
18,10.588235294108609,8.0,-0.060160546500755266,-0.10785298289806027,0.123497195414628,-0.00046439125827914957,0.0031705387718451716,0.0032043681661974455
19,11.470588235286886,8.0,-0.06525195579902182,-0.11250867901486801,0.13006160305512193,-0.0003578261859486648,0.004589068453242959,0.004602997810981479
20,12.352941176465164,8.0,-0.07051039165074927,-0.1198606717805787,0.13906220180348675,1.2761048585691048e-05,0.006551997734786111,0.006552010161851349
21,13.235294117643443,8.0,-0.0763810762137743,-0.13097772521862494,0.15162200799033107,0.0007670029479388968,0.009543856789300392,0.009574627717923143
