node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1,54.93532545357286,-565.6356916970536,-1.5152147285684744e-05,-9.113656822244796e-06,1.768180726172335e-05,-0.17226699886144514,-0.10898118644264154,0.20384508307824092,-3.0357660829594124e-18,6.787256527705372
2,60.376309639262004,-1474.118278510051,-4.328424599031293e-06,-1.5190937841499495e-06,4.5872546729544266e-06,-0.08656849198062584,-0.030381875682998993,0.09174509345908852,2.168404344971009e-19,6.787256527705372
3,79.78695207989948,-262.89419021427256,-2.146155255317378e-06,2.2880792893201546e-06,3.1370829147700614e-06,-0.04292310510634756,0.04576158578640309,0.06274165829540122,-4.336808689942018e-19,6.787256527705372
4,80.0,998.4,-0.08728090109409645,-0.000394210874972102,0.08728179133136185,-0.11615196810926158,-0.0006106647481040459,0.11615357337202113,0.34793254253796846,6.015209509804427
5,40.0,0.0,-0.1983398697576453,-0.0050834423611051515,0.1984050032678571,-0.4857956622652647,0.3788864772403568,0.616078232135623,-0.9753990897745418,3.088811909301764
6,80.0,2496.0,-0.0604761850315123,-1.0863480909086375e-05,0.06047618600722875,-0.11991691553580783,-0.00015764438436953503,0.11991701915647333,0.2408538768273728,3.2989729869322053
7,40.0,0.0,-2.3257402890309184e-07,5.619400409720163e-05,5.61944853802865e-05,-2.3257402890309183e-05,0.005619400409720162,0.00561944853802865,-9.318078391221812e-05,3.011205467663156
8,80.0,4992.0,-0.0012481295228169923,-6.224422028626438e-08,0.001248129524369052,-0.12481295228169922,-6.2244220286264375e-06,0.1248129524369052,0.00226080314253585,3.013466270805692
9,40.142734820276516,2504.9066527852547,-3.674398311939591e-06,3.613512610747666e-06,5.153511069437702e-06,-0.00036743983119395904,0.0003613512610747666,0.0005153511069437702,0.0,3.011205467663156
10,55.80463231028581,-667.3909438373602,-8.631466729401112e-06,-7.023190942753508e-06,1.1127777357546889e-05,-0.17262933458802224,-0.14046381885507014,0.22255554715093778,1.734723475976807e-18,6.787256527705372
11,56.685207810326666,-768.4430326348534,-8.598605634190586e-06,-6.530191195386792e-06,1.0797194816277109e-05,-0.1719721126838117,-0.13060382390773584,0.21594389632554217,2.168404344971009e-19,6.787256527705372
12,57.50560650194143,-873.2501542784735,-7.976954583984407e-06,-5.892185157782698e-06,9.91713922300905e-06,-0.15953909167968813,-0.11784370315565394,0.198342784460181,0.0,6.787256527705372
13,58.255899539379406,-982.431868742216,-7.266682137012407e-06,-5.270638282243403e-06,8.976875691610355e-06,-0.1453336427402481,-0.10541276564486807,0.17953751383220706,2.168404344971009e-18,6.787256527705372
14,58.93349861248213,-1096.149686581496,-6.5213790258504435e-06,-4.645981552927827e-06,8.007092417909745e-06,-0.13042758051700887,-0.09291963105855654,0.16014184835819492,1.5178830414797062e-18,6.787256527705372
15,59.52818210921427,-1215.0414363857922,-5.7201811957450675e-06,-3.903880993405644e-06,6.925370728186998e-06,-0.11440362391490135,-0.07807761986811286,0.13850741456373994,1.0842021724855044e-18,6.787256527705372
16,60.0265804629278,-1339.9413791141105,-4.814593645918151e-06,-2.823275581897923e-06,5.581325737372483e-06,-0.09629187291836301,-0.05646551163795846,0.11162651474744965,-2.168404344971009e-19,6.787256527705372
17,60.63885169456513,-1457.7356542591356,-4.984189548547236e-06,-5.931885993115371e-07,5.0193643193337424e-06,-0.09968379097094472,-0.011863771986230743,0.10038728638667484,0.0,6.787256527705372
18,61.01209530862706,-1434.4452527416713,-6.010420173150809e-06,-3.2892841158691694e-07,6.019413971290501e-06,-0.12020840346301616,-0.006578568231738338,0.12038827942581003,-1.3010426069826053e-18,6.787256527705372
19,61.432812410502166,-1408.1925055846648,-6.529082013301087e-06,-1.9410124870683504e-07,6.5319665669047425e-06,-0.13058164026602176,-0.003882024974136701,0.13063933133809488,6.505213034913027e-19,6.787256527705372
20,61.88033149870804,-1380.2673144806183,-6.87252642374217e-06,-1.3043917158079263e-07,6.873764166926083e-06,-0.13745052847484338,-0.0026087834316158524,0.13747528333852163,-8.673617379884035e-19,6.787256527705372
21,62.34646409602893,-1351.1806404077947,-7.099948079853313e-06,-8.292393716996082e-08,7.10043231894851e-06,-0.14199896159706626,-0.0016584787433992162,0.1420086463789702,-8.673617379884035e-19,6.787256527705372
22,62.82405768799415,-1321.3788002691651,-7.222006626722898e-06,-4.8973438155345444e-08,7.222172672684738e-06,-0.14444013253445795,-0.0009794687631069089,0.14444345345369475,4.336808689942018e-19,6.787256527705372
23,63.309226505434346,-1291.1042660608969,-7.317135994469253e-06,-3.47413299466877e-08,7.317218468896771e-06,-0.14634271988938508,-0.0006948265989337538,0.14634436937793543,-4.336808689942018e-19,6.787256527705372
24,63.79899669743713,-1260.542606079923,-7.373896823632168e-06,-2.0880268061228086e-08,7.373926386340379e-06,-0.14747793647264335,-0.0004176053612245617,0.14747852772680758,-2.168404344971009e-19,6.787256527705372
25,64.29182820515881,-1229.7899199980905,-7.406710242388861e-06,-9.485680225925758e-09,7.406716316481779e-06,-0.14813420484777723,-0.00018971360451851518,0.14813432632963558,2.168404344971009e-19,6.787256527705372
