# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,71.93192404227848,29.93461785929787,85.65531365575868,188.6524760540684,-1.449180075634776,89.84859033073174,0.04324067683137039,-0.04265292429900018,-0.003957079100156517,0.042992351616735536,0.04165351308651044,True,0.012423581946830353
2,1,43.91666666671523,27.79166666666875,54.12072306524049,14.39950797807927,-18.79311499710055,47.652643976561706,-0.0966744815444055,0.09637868825056745,-0.186971089029013,0.13437607162417511,0.13368107368580157,True,0.43368365485800453
3,1,71.46157455058078,29.067755936526975,98.80502691404013,203.58924201813338,-14.839395306095176,94.94943842084096,0.035718444948945265,-0.03510506189962012,-0.017727941206702125,0.036504277221159565,0.03518795188496537,False,-0.41057650801539936
4,1,45.750000000060574,28.375000000006242,31.05041095642161,13.578498525411485,-5.483505841725937,17.939808079306196,-0.00029043972058051537,0.00019877382748754568,-0.00030707632713647686,0.00028880173402395353,4.061564128730687e-20,False,-13.739003047389453
5,1,44.91666666676332,27.54166666666875,53.822514498136705,18.65008555863982,-7.750308586319394,33.40892622184197,-0.001700472934931252,0.001540802374622987,-0.00035783206706882487,0.0016304837794768672,0.001128866533417612,False,-8.163189455623726
6,1,56.19131678490901,29.35591388111744,51.38278647194196,108.09176486234344,-24.946798797132924,65.47598216842084,0.006211098620699561,-0.006051280098323085,-0.010591653949591277,0.008101682930672984,0.007051984642084665,False,-0.014038797971533512
7,1,46.67423221426605,28.304539328518462,36.395558329289464,22.280637108817274,-4.724992695015486,14.746893744674157,-0.00022658526386187816,0.0001686325303108621,-0.00026459959092095054,0.00023780772083045415,5.999301663668404e-20,False,-17.239270105658218
8,1,55.46923174986019,29.891318552434573,47.61034514686213,104.72594086846875,-22.23537239557845,62.68903317696347,0.0028473212294126693,-0.0028366859496731815,-0.005605176090001258,0.003991426330643636,0.003005661804283787,False,-0.7340975852426972
9,1,75.9040884573513,29.34365535719112,113.72301963547716,213.09395666941165,-8.583140930036537,87.65141312110534,0.0016063800236374535,-0.0011879811205550142,-0.00048258217261016093,0.0014178628069645683,6.0644241304251445e-06,False,-7.3615075439283295
10,1,53.75946125444198,30.14243560045743,28.7404299991928,60.23108922836465,-4.710334034259262,28.56348579378342,0.0005069205498750007,-0.00037481790854190485,-0.00026377870591894363,0.00046017440029506575,4.5731221298312086e-20,False,-12.91876035620675
