# units: Imperial
node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1,56.0,998.4,3.5527136788005005e-15,1.1842378929335002e-15,3.7448890331484805e-15,7.105427357601001e-15,2.3684757858670005e-15,7.489778066296961e-15,-4.6629367034256575e-15,1.2774951764651416e-13
2,56.0,998.4,1.5987211554602254e-14,7.460698725481052e-14,7.630067811317975e-14,3.197442310920451e-14,1.4921397450962104e-13,1.526013562263595e-13,-1.1887512704788179e-14,6.158487676608951e-14
3,56.000000000008114,2121.6000000005065,1.105232307790651e-13,-7.58201966819104e-13,7.66215117985935e-13,-4.517021677332065e-14,-2.6095739326051224e-12,2.609964838501759e-12,1.509090226949181e-16,1.2320450144434633e-13
4,56.00000000000451,1872.0000000002815,-1.3532878521497573e-13,4.516091204701902e-13,4.714495495804612e-13,-4.627409566637651e-13,1.3897031673574623e-12,1.4647197978922314e-12,1.3921313689166875e-14,8.149473054244365e-14
5,56.000000000000874,1872.0000000000546,-1.983598470663613e-15,3.700743415417189e-15,4.198828970031133e-15,-7.993605777301127e-15,2.7533531010703882e-14,2.867042139976834e-14,-9.23237233832162e-15,1.2810416604432893e-13
6,56.0,998.4,4.1448326252672506e-15,8.881784197001252e-14,8.891450213380041e-14,8.289665250534501e-15,1.7763568394002505e-13,1.7782900426760082e-13,-2.0741678650005214e-14,1.3021313602122937e-13
7,56.0,998.4,7.697546304067751e-15,4.3816802038539514e-14,4.448780012529084e-14,1.5395092608135503e-14,8.763360407707903e-14,8.897560025058168e-14,-1.3322676295501878e-15,1.0180293922462267e-13
8,56.00000000000147,1872.0000000000916,7.238654120556021e-15,3.738490998254444e-14,3.8079254297845613e-14,5.58072107044912e-14,1.748971338126163e-13,1.8358499988420539e-13,7.349872276996042e-16,1.1315866749587298e-13
9,56.00000000000324,1872.0000000002021,8.614343806180437e-14,3.6900852743814824e-13,3.789300532330189e-13,3.735283687294415e-13,1.0894988614989593e-12,1.1517513670290156e-12,-5.639403718040017e-14,1.2440419229871558e-13
10,56.00000000000505,2121.600000000315,3.843697846778447e-14,-1.856715839277882e-15,3.848179709214153e-14,2.6797611748666636e-13,-1.566154613404554e-13,3.1038621469728856e-13,-1.336367794039013e-14,1.3156142841808105e-13
11,56.00000000000601,1872.0000000003752,5.88418203051333e-15,5.8027656753741514e-15,8.2641205007863e-15,5.88418203051333e-14,5.802765675374151e-14,8.264120500786299e-14,7.997723099433939e-16,1.2801126715096895e-13
12,56.00000000000513,1872.0000000003201,-1.7467508920769127e-15,-2.368475785867001e-15,2.9429264732931737e-15,-1.746750892076913e-14,-2.3684757858670004e-14,2.9429264732931734e-14,1.5468980371571692e-15,1.308686439094666e-13
13,56.00000000000378,3494.4000000002357,-1.2656542480726785e-15,4.440892098500626e-15,4.617727071426993e-15,-1.2656542480726783e-14,4.4408920985006255e-14,4.617727071426992e-14,-4.1266838034018224e-17,1.1647035672030462e-13
14,56.000000000002075,3494.4000000001292,-1.0362081563168126e-15,-3.434289889507151e-15,3.587209833336841e-15,-1.0362081563168127e-14,-3.434289889507151e-14,3.5872098333368406e-14,-1.3074845273210969e-15,1.2493180559550865e-13
15,56.0,998.4,-7.894919286223336e-15,6.908054375445418e-15,1.0490517899040628e-14,-1.578983857244667e-14,1.3816108750890837e-14,2.0981035798081256e-14,-3.1086244689504383e-15,1.2807614094573286e-13
16,56.0,998.4,-1.5789838572446668e-14,2.3882130840825587e-14,2.862996988545809e-14,-3.1579677144893337e-14,4.7764261681651174e-14,5.725993977091618e-14,-8.881784197001252e-15,1.2777183310051717e-13
17,56.0,998.4,-9.079157179156835e-15,6.039613253960852e-14,6.107474044828839e-14,-1.815831435831367e-14,1.2079226507921703e-13,1.2214948089657678e-13,-1.8762769116165146e-14,1.2625029387443814e-13
18,56.0,998.4,1.9737298215558343e-15,5.861977570020827e-14,5.865299406297369e-14,3.947459643111669e-15,1.1723955140041653e-13,1.1730598812594738e-13,-3.3306690738754696e-14,1.240821004772744e-13
19,56.0,998.4,4.342205607422834e-15,4.736951571734e-14,4.7568117146177394e-14,8.684411214845668e-15,9.473903143468e-14,9.513623429235479e-14,-8.43769498715119e-15,1.2233233036728288e-13
20,56.0,998.4,-5.131697536045168e-15,4.677739677087326e-14,4.705804042096479e-14,-1.0263395072090336e-14,9.355479354174652e-14,9.411608084192958e-14,-1.3322676295501878e-14,1.2153352227359248e-13
21,56.0,998.4,-7.993605777301126e-15,6.473833814703133e-14,6.522997899250217e-14,-1.598721155460225e-14,1.2947667629406267e-13,1.3045995798500435e-13,-1.1546319456101628e-14,1.2084882962185798e-13
22,56.0,998.4,5.921189464667501e-16,7.776495496929984e-14,7.776720919657589e-14,1.1842378929335002e-15,1.5552990993859968e-13,1.5553441839315179e-13,-2.5091040356528538e-14,1.1940336735708318e-13
23,56.0,998.4,-4.736951571734003e-15,7.065952761169884e-14,7.081813011158501e-14,-9.473903143468007e-15,1.4131905522339768e-13,1.4163626022317002e-13,-3.885780586188048e-14,1.1906102103121522e-13
24,56.0,998.4,2.763221750178167e-15,7.539647918343285e-14,7.544709714560582e-14,5.526443500356334e-15,1.507929583668657e-13,1.5089419429121164e-13,-3.907985046680551e-14,1.1666459675013953e-13
25,56.0,998.4,7.894919286223334e-16,7.815970093361101e-14,7.816368816488173e-14,1.5789838572446668e-15,1.5631940186722202e-13,1.5632737632976347e-13,-2.1760371282653068e-14,1.1495286512079973e-13
26,56.0,998.4,-4.736951571734001e-15,9.059419880941277e-14,9.071795615043563e-14,-9.473903143468002e-15,1.8118839761882555e-13,1.8143591230087126e-13,-1.0769163338864017e-14,1.1362151829797989e-13
27,56.0,998.4,-2.763221750178167e-15,9.769962616701378e-14,9.773869421889623e-14,-5.526443500356334e-15,1.9539925233402755e-13,1.9547738843779246e-13,-4.54081217071689e-14,1.1206194059124809e-13
28,56.0,998.4,8.289665250534503e-15,9.079157179156835e-14,9.116922758447299e-14,1.6579330501069005e-14,1.815831435831367e-13,1.8233845516894598e-13,-5.140332604014474e-14,1.0989374719408436e-13
29,56.0,998.4,-1.1842378929335002e-15,9.355479354174652e-14,9.356228841806871e-14,-2.3684757858670005e-15,1.8710958708349304e-13,1.8712457683613743e-13,-2.853273173286652e-14,1.0776359227757398e-13
30,56.0,998.4,1.578983857244667e-15,9.908123704210285e-14,9.909381778806795e-14,3.157967714489334e-15,1.981624740842057e-13,1.981876355761359e-13,-4.9293902293356944e-14,1.0525305255455267e-13
31,56.0,998.4,4.342205607422834e-15,8.90152149521681e-14,8.91210594782054e-14,8.684411214845668e-15,1.780304299043362e-13,1.782421189564108e-13,-3.175237850427948e-14,1.0331309004130891e-13
32,56.0,998.4,-2.763221750178167e-15,8.408089039827853e-14,8.41262831973931e-14,-5.526443500356334e-15,1.6816178079655705e-13,1.682525663947862e-13,-2.9753977059954195e-14,1.0175351233458355e-13
33,56.0,998.4,1.5789838572446672e-15,7.144901954032118e-14,7.146646474602363e-14,3.1579677144893344e-15,1.4289803908064237e-13,1.4293292949204726e-13,-2.2648549702353193e-14,1.0076451183763575e-13
34,56.0,998.4,-7.894919286223334e-16,6.473833814703135e-14,6.474315194323439e-14,-1.5789838572446668e-15,1.294766762940627e-13,1.2948630388646877e-13,-2.3314683517128287e-14,9.901474172765005e-14
35,56.0,998.4,-5.131697536045168e-15,6.76989328793651e-14,6.789315011550306e-14,-1.0263395072090336e-14,1.353978657587302e-13,1.3578630023100612e-13,-1.9761969838327786e-14,9.783554882743409e-14
36,56.0,998.4,-2.5658487680225837e-14,1.0381818861383685e-13,1.0694192011131324e-13,-5.1316975360451674e-14,2.076363772276737e-13,2.1388384022262648e-13,-3.685940441755519e-14,9.566735543026141e-14
37,56.0,998.4,1.6283271027835628e-14,1.164500594717942e-13,1.175829973522973e-13,3.2566542055671256e-14,2.329001189435884e-13,2.351659947045946e-13,-5.834221994405198e-14,9.171135344243756e-14
38,56.0,998.4,8.585724723767877e-15,9.513377739899117e-14,9.552041808552307e-14,1.7171449447535753e-14,1.9026755479798234e-13,1.9104083617104614e-13,-6.217248937900877e-15,9.125489167461173e-14
39,56.0,998.4,-1.5789838572446668e-15,9.335742055959093e-14,9.337077253381687e-14,-3.1579677144893336e-15,1.8671484111918186e-13,1.8674154506763374e-13,-4.3520742565306136e-14,8.961923700656918e-14
40,56.0,998.4,-5.921189464667496e-16,8.625199320198993e-14,8.625402562294054e-14,-1.1842378929334993e-15,1.7250398640397986e-13,1.7250805124588107e-13,-2.5757174171303632e-14,8.805965929983093e-14
41,56.0,998.4,-1.1842378929335014e-15,9.296267459527978e-14,9.297021720580702e-14,-2.368475785867003e-15,1.8592534919055956e-13,1.8594043441161404e-13,-3.9968028886505635e-14,8.573931198004963e-14
42,56.0,998.4,-4.7369515717340026e-15,8.54625012733676e-14,8.559367870405683e-14,-9.473903143468005e-15,1.709250025467352e-13,1.7118735740811366e-13,-6.372680161348399e-14,8.440796515722429e-14
