# units: Imperial
node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1,60.0,3744.0,1.9431908638668375e-07,-1.4932105840563385e-07,2.450646564022119e-07,6.855145547509285e-08,-5.267715115960432e-08,8.64533648971828e-08,-1.680919581303897e-08,0.014118009342088313
2,60.0,0.0,0.044784113320910146,-0.02441031936920476,0.05100471054370071,0.015798839977050585,-0.008611418221887589,0.017993328441750552,0.14712297825766285,1.205573031414676
3,58.62472021962522,-834.6174582953864,0.0004369986042010846,0.00014517723015272888,0.0004604825818948146,0.15416339648157823,0.0512153006370562,0.16244802194572988,-7.632783294297951e-17,1.250522118117375
4,43.78663026097046,-1760.514271715443,0.0016664408686266937,-0.000354277073373482,0.0017036834839098984,0.5878833064303984,-0.12498107866192981,0.6010216734885999,2.42861286636753e-17,1.250775897614746
5,6.0,0.0,0.2667341435772742,-0.053691464626817,0.27208431914330283,0.32930866115254587,-0.08380066993353327,0.33980398260083894,-0.34936335995190626,0.6145734456607469
6,15.976286892503126,622.520302092195,0.04396481262407256,0.0005578426314113505,0.043968351543709594,0.06954287855484588,0.01539534480463838,0.0712266003635422,4.88786486537247e-15,0.13013936059679979
7,42.294648431889655,-1104.8139378500855,0.0016275252953842814,-0.000855256393390493,0.001838559785688517,0.9789647043057949,-0.42299212937486574,1.0664399813349157,-1.734723475976807e-17,1.2247255213914294
8,48.768938353053315,-700.8182467694731,0.0014566220618846741,-3.353126020148644e-05,0.0014570079535060401,1.243353165515682,0.09851464542596806,1.2472498665308691,4.540625707718337e-17,1.2232628853507999
9,59.60417198565074,-24.699668095394006,0.005999695134051425,-0.00044538752417888,0.006016204097955333,0.4139435650470211,0.0832715372478453,0.42223621819954843,-6.59472476627343e-14,1.2323832948010067
10,59.719410571166286,3726.4912196407763,0.012912444106141003,0.0007404893881306201,0.012933659085044322,0.1366136615980079,-0.02414187706146424,0.13873039596017114,5.218048215738236e-15,0.010304207737561216
11,0.0,0.0,0.12266778904613458,-0.00025270321278669355,0.1226680493379622,0.43274470029056245,-0.000891480778533571,0.4327456185422877,-0.04108258381304186,0.011770367442714952
12,16.37625061673914,1021.8780384845222,0.0208207273881853,-1.5028670420488775e-05,0.020820732812128973,0.28226781925445743,0.031676279634876375,0.2840396248381094,-3.885780586188048e-16,0.00887258755042709
13,60.0,3650.400000000147,7.33474001047922e-07,-7.91891657901715e-07,1.0793870983421905e-06,2.5875332814667076e-07,-2.793617793144736e-07,3.8078378191399816e-07,6.75620071888261e-07,0.0141186962039952
14,60.0,3556.8000000003244,3.426837462309179e-06,-3.4620574293046277e-06,4.871247954773908e-06,1.2089121047553773e-06,-1.2213369264454006e-06,1.718468028484433e-06,5.5303339081547165e-06,0.01412730126509895
