# units: Imperial, time: day
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,448.51384777714856,137.77789428434812,442.34074874326285,1411.0194784112798,202.13034332782317,1022.3408443149552,2.8227294272042958e-05,-0.0007218929599494862,0.00035403038702314614,0.00041473422535677295,0.00010244414102062982,False,-0.348237407165783
2,1,327.5416787429983,133.44152110889578,3004.267667582002,4059.188585821829,-761.7919284420328,1870.9104814515522,0.009240451885525587,-0.010613200092546904,-0.028588592631533325,0.01740312562097814,0.016852590228500004,False,-47.92856311364622
3,1,310.2121557118572,144.9547868455431,1292.6347836143282,1862.9371821854647,-227.70945962286063,722.2903804426228,0.0022671055515986298,-0.0027404011205093733,-0.014135008309524286,0.007497892753659637,0.0073229088345045336,False,-22.965778981310876
4,1,331.280400379029,134.7361327736626,2993.4474256603417,4314.329122683783,-738.8176863093887,2017.920339612529,0.008123681688563589,-0.009640651549144744,-0.024803294728710415,0.01525430238309526,0.014668913492194659,False,-56.848414024117034
5,1,257.3840017505193,118.6300775641645,2899.6082580363527,3291.763302524784,-88.82099538847966,486.7559905196986,-2.3984060497174442e-05,-0.0003515310144765043,-0.00012360840624370002,0.0001750471687540567,4.690618237341522e-05,False,-38.160342125085236
6,1,382.73564481815214,169.75151800501058,310.27840664233645,1111.9511971780587,119.86467790288036,789.8465951612644,0.006816174886024193,-0.007361015743107324,0.01399934523790175,0.0099621082259818,0.009768513469149781,False,-0.9456935856946131
7,1,416.1611134924772,127.33061251624092,3140.062326925358,5448.0435803210075,1422.8003809360978,3793.892202016047,0.0007904881540956032,-0.004031204169296032,0.005664924684391198,0.003719545958221196,0.0026216609383980867,False,-162.00632587046735
8,1,412.413948594236,128.72260271411332,3203.993291197312,5793.973890195254,1622.7469387399753,4208.163255799989,0.0013126180777693341,-0.004705963732227203,0.007781556840459378,0.00491873850354238,0.0036738532083532755,False,-121.45538592727635
9,1,444.6305852647167,137.6169652106737,562.4036398844845,1670.9909608464056,270.7319853693626,1204.358183144267,-5.866964211675985e-07,-0.0008377135092950266,0.00045327608974208775,0.00047598332805998106,0.00010978031184166939,False,-1.6037663853517472
10,1,539.1666666666669,100.8056346945425,403.67291731497716,697.4190877493004,200.31785069529758,470.7136203894234,0.0002706169991499425,-0.0005452587583992807,0.022109761469850643,0.011062404864059268,0.010946666094464616,False,-2.843738717262738
11,1,314.17023450859625,144.73078836180215,1453.5534564643551,2037.419805624355,-354.00703156832293,904.5413375869516,0.0037286409395966974,-0.004309302345840728,-0.022872368002590505,0.012121816595562674,0.011871506544105707,False,-5.359688551477774
12,1,539.8504273504728,103.88255777144421,358.378965286355,202.47169903969336,180.25555547910747,375.98467789943953,-0.004805948697622575,0.004613731412745292,0.01572368625859899,0.009164669701365601,0.009072095790224515,False,-4.833716952095827
13,1,402.9054063502931,159.41005360646759,455.80245895735675,1449.4879704314524,200.94581993808245,1042.9305208368428,0.005188952503758629,-0.00590371222774333,0.014419622412269684,0.009096327849164431,0.00883313248947179,False,-1.9831156966341439
14,1,517.5505757055247,102.55033551127406,1025.4265060926962,1814.356509025044,486.6308044483108,1200.4210049103222,0.0015191571139640985,-0.002393191532877814,0.005313790232225016,0.003299349881663649,0.002926449980769853,False,-4.647336448021832
15,1,323.74852334102684,127.11340756727402,3651.439566541273,4833.442356716514,-910.4219439480031,2187.9236795563434,0.01073620813850969,-0.012378618876563732,-0.029647230973925222,0.018796632227330242,0.018151798475021064,False,-46.991592592401986
16,1,506.1919551699428,108.67635139920738,822.0377380160799,1767.3153065384936,472.94027149764133,1307.2671118843996,-2.746270789666383e-05,-0.0009171601252381464,0.0009584105205094479,0.0006538562954211145,0.000260524120911239,False,-16.161482646096744
17,1,327.50749188706703,128.44548071263756,3626.4718637033984,4731.1819117561245,-935.1278664661695,2192.7980934198363,0.010113588393458963,-0.011757902815516585,-0.02832743888991738,0.01789417448337795,0.017251293997835326,False,-50.24459248093379
18,1,399.28710352157697,159.02396628075448,585.2217241381009,1673.660756287235,302.3249089192561,1205.3745322806815,0.006377468869992409,-0.007232354767592854,0.014455768997390882,0.009927191908491822,0.009618257338993597,False,-2.183276426036599
19,1,210.38580246900418,104.22839506167479,3747.684148397323,3613.551899376679,-137.41780810417646,290.9588282517483,-0.00016931655752149694,4.9524876597081824e-05,-0.0004975405320676238,0.00027177111433024414,0.00018190940990436212,False,-15.811153683182965
20,1,378.8448382472873,170.17559239319425,281.98848292443193,1088.0877322335803,-16.99235873144748,760.3649304781965,0.0038425293737059663,-0.0043526901609599045,0.009372274816823331,0.006224973061456369,0.006077122009585105,False,-3.107787822486813
21,1,211.21913580232692,100.89506172838368,4299.7892431392565,4132.953929226956,-285.4078856646318,604.3571607426042,-0.00025770516255394687,-0.00012285798272819448,-0.0004498464166519294,0.00023481139265458357,5.773356704835257e-05,False,-18.822493558079174
22,1,509.25670066130937,110.67624787121083,669.9886689407384,1112.2566131354322,282.1600074417342,736.2954740127308,-0.00017897770809938152,-0.0004983935343729276,0.000803217191630276,0.0004321991228023374,0.0002672600701420164,False,-118.24046440565226
23,1,419.8603731871778,120.83157246404086,4002.1382249622966,6183.1997002559065,1644.9819476535522,4230.072515679913,-0.00012215484073546667,-0.003713780817343859,0.0040402450009939805,0.002702931594764518,0.0015406521748263374,False,-211.11765352381158
24,1,320.11468147160787,120.90632145786118,4267.948102194372,5776.888624625741,-1021.6051570833798,2563.48962976733,0.00934819448126567,-0.011304449878514033,-0.02145963683261361,0.01489167327770126,0.014142200739917177,False,-48.38867811324408
25,1,416.1373150114662,122.43901127049268,3985.9867751442434,6415.030685455495,1754.5600218636375,4491.53190484908,0.0004486212001452716,-0.004363448405443809,0.005739571220318762,0.003744952993101037,0.0024738706751007973,False,-178.14725190356594
26,1,261.41809165429123,118.53774687404398,3043.5176661663204,3489.5275874001027,-154.19945270506557,625.0693766977079,-0.00010064151581459964,-0.00039523612691156457,-0.00019333441810389512,0.0001761846915249334,1.4122571164217176e-05,False,-31.659042095724118
27,1,513.8815172522685,104.68740304850861,865.5762713840519,1775.066096583487,432.31138901578805,1208.193778493612,0.0009503358807064766,-0.0018271851935388501,0.003190365575346979,0.0021150092093319577,0.0017413205468679225,False,-7.508911862982671
