# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
pile_index,element_id,line_id,x_start,y_start,x_end,y_end,axial_force,shear_force,moment_1,moment_2,v_cap,m_cap,yielded_shear,yielded_moment,yielded
0,0,1,38.0,10.0,38.0,9.068277594526164,26.877847285155028,2.0522830670890744,0.0,1.9121581165818498,inf,inf,False,False,False
1,1,1,38.0,9.068277594526164,38.0,8.29439283963531,56.089108040390194,35.40254460346539,-1.9121581165964017,29.309647670190316,inf,inf,False,False,False
2,2,1,38.0,8.29439283963531,38.0,7.651607177413069,70.80649912904937,116.93708518647742,-29.309647670175764,104.47512941097375,inf,inf,False,False,False
3,3,1,38.0,7.651607177413069,38.0,7.117712092232158,79.14296956232444,207.27201962969355,-104.47512941091554,215.13664198794868,inf,inf,False,False,False
4,4,1,38.0,7.117712092232158,38.0,6.674261009568845,80.59238311834227,293.7204765663046,-215.13664198786137,345.3873053226853,inf,inf,False,False,False
5,5,1,38.0,6.674261009568845,38.0,6.305932343353621,78.00089179098298,370.9050347726455,-345.3873053228017,482.00226207391825,inf,inf,False,False,False
6,6,1,38.0,6.305932343353621,38.0,6.0,72.58435915963055,438.1842511441603,-482.00226207386004,616.056996848667,inf,inf,False,False,False
7,7,1,38.0,6.0,38.0,5.75,67.35715082244013,480.94156615619,-616.0569968485797,736.2923883885378,inf,inf,False,False,False
8,8,1,38.0,5.75,38.0,5.500000000000001,66.80259477669637,497.0746476031404,-736.2923883885087,860.5610502903583,inf,inf,False,False,False
9,9,1,38.0,5.500000000000001,38.0,5.250000000000001,65.92180710447877,512.8695435708153,-860.5610502902709,988.7784361836966,inf,inf,False,False,False
10,10,1,38.0,5.250000000000001,38.0,5.0,64.49995656424683,527.9707482777895,-988.778436183653,1120.771123253624,inf,inf,False,False,False
11,11,1,38.0,5.0,38.0,4.6940676566476744,48.86868159607953,-447.58325826843776,-1120.7711232536458,983.8409282065986,inf,inf,False,False,False
12,12,1,38.0,4.6940676566476744,38.0,4.325738990434273,32.6050424541566,-924.7804651565398,-983.8409282066314,643.217772935488,inf,inf,False,False,False
13,13,1,38.0,4.325738990434273,38.0,3.8822879077734695,15.114481133963197,-746.9976646554719,-643.217772935488,311.9608497990048,inf,inf,False,False,False
14,14,1,38.0,3.8822879077734695,38.0,3.348392822595965,-0.4272065931772634,-405.56518166528167,-311.96084979899933,95.43159258880951,inf,inf,False,False,False
15,15,1,38.0,3.348392822595965,38.0,2.7056071603748864,-15.25884367304945,-140.90617274743076,-95.43159258881269,4.8591250283352565,inf,inf,False,False,False
16,16,1,38.0,2.7056071603748864,38.0,1.931722405479972,-27.65890755672243,-18.677825663755545,-4.859125028335939,-9.595359507423382,inf,inf,False,False,False
17,17,1,38.0,1.931722405479972,38.0,1.0,-30.187367139316645,10.298517510128201,9.595359507422927,9.094947017729282e-13,inf,inf,False,False,False
