# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,43.59369150149329,1.437964197958662,322.852263407798,325.8347231031684,-14.381805027147044,25.725269166805983,1.917289547135387e-06,1.1418500263390734e-06,-7.478538614116466e-06,3.759316635149394e-06,0.0,False,-97.87292149554625
2,1,10.497543178556652,3.944150978422537,45.36416184162503,26.68271565029752,-3.5096560971287936,17.706769865499467,-3.429818178351137e-06,1.4273578313940079e-06,-1.825021170506977e-06,2.594362207867399e-06,0.0,False,-15.8419690207586
3,1,4.79507585415371,4.66783917944964,16.516998747495553,8.331955272609044,-0.35857465410208866,7.304001351320059,-1.4925831273497503e-06,6.355281761207436e-07,-1.864588201330864e-07,1.0681320858822081e-06,0.0,False,-10.785769673347014
4,1,48.946509375895296,13.324444818807137,2.7203304885906783,41.91148296545965,0.04153062218051192,34.83189918768243,9.26460821113562e-06,-5.193429868153959e-06,3.418861914505856e-09,7.229019241757561e-06,2.1341917410398875e-06,False,-0.10537839896218237
5,1,34.7570625062478,1.3681391690208844,312.3145836182406,320.5588249121313,-45.230580666189546,79.26749664108598,3.6051722851721653e-06,1.4616695487605678e-06,-2.3519901946418563e-05,1.1808687390541632e-05,0.0,False,-65.00580258926195
6,1,14.018864141326185,3.703587668795862,65.93038269567155,32.36934513901271,-6.277953396058745,31.746331498426855,-6.103848668638473e-06,2.622021096092829e-06,-3.2645357659505487e-06,4.658272129186482e-06,0.0,False,-13.340172382376565
7,1,16.802419918801707,3.578923242214323,91.45393291268836,35.4592275654276,-8.7727966897161,52.03125706991447,-1.018399646976317e-05,4.3746269205246326e-06,-4.561854278652395e-06,7.628303046548005e-06,0.0,False,-7.489109520268228
8,1,31.227556947265132,1.0781752612438815,310.5390652279059,319.81885976911286,-66.66560815362777,116.4917619553957,4.624505511277845e-06,2.211758930564026e-06,-3.466611623988646e-05,1.7374988929637236e-05,0.0,False,-43.292080261174114
9,1,48.93633880033212,4.481992758955418,234.16307261403972,256.2392804097262,-1.7983661128597852,20.63070335218329,4.71580348291933e-06,-1.02401054395915e-06,-9.351503786870875e-07,2.90774703567511e-06,0.0,False,-81.31646877754673
10,1,43.9401576956802,1.06618274980557,334.58637382696423,334.27720468434586,-13.729367884337856,24.42401740231639,1.406826779377008e-06,1.4872107564577804e-06,-7.139271299855686e-06,3.569861911780147e-06,0.0,False,-101.01506758277611
11,1,10.085394545946338,3.673342808937458,50.29711051137022,33.617384252825104,-4.091746523697414,16.469719965906283,-3.082609444586406e-06,1.2541193826353192e-06,-2.1277081923226544e-06,2.415282544161907e-06,0.0,False,-19.032097961298106
12,1,48.67777985164059,12.900502981721758,6.6730120721200095,52.49758334347511,0.011961158897748283,40.72886103527569,9.192193361002246e-06,-4.42855078917726e-06,4.349235591124905e-09,6.810372422278011e-06,8.531801288934162e-07,False,-0.09947468699036577
13,1,35.03667649426802,0.9832288577597219,327.1073694305417,328.76107076190516,-44.76674152257119,78.0712939712574,2.5534272528947397e-06,2.123464906740232e-06,-2.3278705591737022e-05,1.164133799919364e-05,0.0,False,-68.41913663200802
14,1,28.300851846472927,1.4181960016675805,265.36923868584785,283.3935274893555,-78.59677411562176,137.32571687381127,4.702398899839304e-06,1.6083810927319044e-08,-4.0870322540123286e-05,2.0569059371093476e-05,0.0,False,-20.901423440952414
15,1,7.095591873323021,1.0392397163646736,103.76991713927123,101.65427808146707,-5.584292353288995,9.954503329739984,-6.591144915410807e-07,-1.0904833651200372e-07,-2.9038320237102764e-06,1.4777358692298323e-06,0.0,False,-45.09303669847584
16,1,48.681560072480124,4.060959297800124,246.46383630153454,266.03647569687394,-2.3303442133920282,18.737249561980985,4.335932723196562e-06,-7.529535195916812e-07,-1.211778990963856e-06,2.6155865267173264e-06,0.0,False,-85.31538909848221
17,1,13.001452390228854,1.478330420302653,105.52906743048179,92.11507052615393,-16.18862299729322,30.655513516647158,-2.8649738640945777e-06,6.226653310306684e-07,-8.418083958592475e-06,4.555978618510128e-06,0.0,False,-31.9416981242683
18,1,7.813575293403152,4.459033970462882,26.268386157752605,13.592338191927503,-1.1432626638380385,11.44548468936047,-2.314132224944117e-06,9.816402461704058e-07,-5.944965851957797e-07,1.6744806934663183e-06,0.0,False,-12.136669798950184
19,1,37.40419506056045,14.743197030027156,-7.9396029600876075,6.421491443711304,-0.05295429344634182,12.764621892326334,1.259278235034124e-05,-1.1099523308779302e-05,5.3469096791868356e-08,1.1846182996956308e-05,9.979320450473117e-06,False,-0.6772682297621087
20,1,39.89779247462021,13.581831230971742,0.9131157020290708,35.444011415537425,0.17980032082955563,30.694230372246487,1.1207736891321267e-05,-7.614400512601266e-06,1.3455681959757381e-08,9.411071106780523e-06,4.922226869453447e-06,False,-0.4718764721264641
21,1,12.513318109350939,1.4284593473091813,104.65014697068852,93.35226812313307,-14.931472231612858,27.922606579586752,-2.4788441380647994e-06,4.586043622996169e-07,-7.764365560438686e-06,4.1507221133321944e-06,0.0,False,-33.56108725746619
22,1,42.31954636992839,13.659254679922748,0.04321778206048066,33.531513125724054,0.14958259190411827,29.765016694535582,1.0393376140689005e-05,-6.913272490696863e-06,-5.6315536275524807e-08,8.6533701280177e-06,4.300374725720758e-06,False,-0.3188157559459235
23,1,48.70234873576868,7.988577069316264,133.86477777731577,173.25082544238512,-1.230035481954733,35.2635774512063,7.37987444881228e-06,-2.8604979441057433e-06,-6.396184506164617e-07,5.130164191037325e-06,0.0,False,-47.151528499221214
24,1,45.72341873632863,13.95374998273924,-2.624321023117421,26.17641533330618,0.028551033748418206,25.596888402541364,9.75763852027554e-06,-6.766556238779222e-06,-9.423403698108702e-08,8.262231727700733e-06,4.518336691814976e-06,False,-0.16350210263086318
25,1,20.45848044122948,3.649333685811062,157.20356952729006,87.72734067697625,-45.38547417916879,103.70254077920498,-1.945734200842157e-05,3.3920904753536476e-06,-3.0139337953594424e-05,1.891081870987861e-05,4.054970590822701e-06,False,-0.09333333658384291
26,1,29.81582160170747,14.03080675475288,-2.064180094737147,17.581875760358347,0.1548705888300039,17.56699680517419,4.273800463317596e-06,-2.004085996351997e-06,5.985658296704089e-07,3.1531785333593085e-06,6.416744814343952e-07,False,-2.6446859918913095
27,1,1.7500006344744083,3.660431841041468,39.087857459746836,33.67654401344539,-0.4520745409863524,4.890189968231583,-1.0043424113329986e-06,4.025990847053775e-07,-2.350787613129043e-07,7.132226856485836e-07,0.0,False,-23.230604107770898
