# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,63.67198996315133,46.383545031567444,-36.531403208278256,-39.09332173895867,32.1048442068299,455.7099848655152,2.9316181217954422e-05,2.9482705922447613e-05,4.173629746887452e-06,2.088475265672924e-06,2.5985265779182994e-20,False,242.2147602759515
2,1,67.34324221195466,48.54394788942174,-990.82016259048,173.1416667128798,331.07738978409117,1299.5942677322055,7.595241988070877e-05,2.9490097599066704e-07,4.304006067193156e-05,4.352156646267838e-05,1.4151056545166817e-20,False,669.5625609642856
3,1,79.88175150791149,78.51420665671453,68.3370192401342,503.95885629370133,200.0282413735915,512.7473314329512,1.568368097199825e-05,-1.263173843648501e-05,2.600367137856681e-05,1.9222083013053015e-05,1.1293772630057338e-20,False,295.72435404696193
4,1,176.64781755225235,86.06911544800472,-445.28275133594497,176.56855270945653,65.53390900010584,565.8896257686954,2.8765191121806816e-05,-1.165514364114429e-05,8.519408170013784e-06,2.065419919723548e-05,1.0862002702217249e-20,False,317.7569107266996
5,1,-50.23020990269662,-38.89546833802569,1292.0615144007295,1212.1315475084627,-143.6167323439918,281.4016892306751,-9.87017930910148e-06,-4.674731461104126e-06,-1.8670175204718933e-05,9.689789994062849e-06,4.072027631110352e-21,False,149.07369221635147
6,1,69.99922736025084,52.713386807272435,44.66868753032944,80.84561899839423,-30.931279439241223,376.66743418211456,2.5324500904386725e-05,2.2973000358962072e-05,-4.021066327100273e-06,2.329084005680781e-06,1.582702966080715e-20,False,203.67565105658068
7,1,29.446628804699813,23.39268120069329,30.22334038093834,141.8515900006707,-85.8011297145233,280.0553254548626,1.771955745245163e-05,1.0463721227168806e-05,-1.1154146862888152e-05,6.653235144781148e-06,2.276332647355047e-21,False,159.57595757377808
8,1,111.22257200036444,82.1674228430894,23.316971303735908,23.97533276462252,-35.65456335264719,117.2664487924806,6.501003920082477e-06,6.458210425124602e-06,-4.6350932358441336e-06,2.317645388545169e-06,1.894023249242609e-21,False,67.67117354729686
9,1,74.7515800721577,86.66989373595682,194.00295687217798,419.5771983991442,139.34309003729297,319.9412556041688,2.3172594444380995e-06,-1.234506625481433e-05,1.811460170484747e-05,1.1652495331861553e-05,1.355546792363213e-20,False,179.26915895172172
10,1,41.80348784048548,26.710912245623405,183.25922960965613,1625.4410918242345,239.1073209318354,1316.5645206378797,4.971075706838683e-05,-4.4031063975560586e-05,3.108395172113865e-05,4.938051505208695e-05,1.1137400704984888e-20,False,759.7002315705695
