# units: SI
joint_id,line_id,side,pair,node_a,node_b,x,y,weight,tn,ts,tlim,slip,open,slipping
0,1,2,0,1922,0,6.1602540378,9.3301270189,0.4999999999923046,780.8032536687947,597.0046624171148,597.0046624171148,0.0,False,True
0,1,2,1,1924,39,7.660254037789175,6.73205080759375,0.4999999999923046,0.0,0.0,0.0,0.0,True,False
0,1,2,2,1923,541,6.910254037794587,8.031088913246876,1.9999999999692184,0.0,0.0,0.0,0.0,True,False
1,1,2,0,1925,39,7.660254037789175,6.73205080759375,0.16666666666891272,0.0,0.0,0.0,0.0,True,False
1,1,2,1,1927,40,8.1602540378,5.8660254038,0.16666666666891272,0.0,0.0,0.0,0.0,True,False
1,1,2,2,1926,1799,7.910254037794587,6.299038105696875,0.6666666666756509,0.0,0.0,0.0,0.0,True,False
2,2,2,0,1927,40,8.1602540378,5.8660254038,1.6666666666602599,0.0,0.0,0.0,0.0,True,False
2,2,2,1,1929,37,-0.5,0.8660254038,1.6666666666602599,128.29138215340873,-98.09200068473258,98.09200068473258,0.0,False,True
2,2,2,2,1928,1898,3.8301270189,3.3660254038,6.6666666666410395,142.60631470901058,-109.03724385287384,109.03724385287384,0.0,False,True
3,3,2,0,1930,2,12.3205080757,18.6602540378,1.166666666653522,1003.889897614453,767.5774231385236,767.5774231385236,0.0,False,True
3,3,2,1,1932,41,15.820508075689174,12.598076211393751,1.166666666653522,0.0,0.0,0.0,0.0,True,False
3,3,2,2,1931,544,14.070508075694587,15.629165124596877,4.666666666614088,0.0,0.0,0.0,0.0,True,False
4,3,2,0,1933,41,15.820508075689174,12.598076211393751,0.166666666668913,0.0,0.0,0.0,0.0,True,False
4,3,2,1,1935,42,16.3205080757,11.7320508076,0.166666666668913,0.0,0.0,0.0,0.0,True,False
4,3,2,2,1934,1713,16.070508075694587,12.165063509496875,0.666666666675652,0.0,0.0,0.0,0.0,True,False
5,4,2,0,1935,42,16.3205080757,11.7320508076,1.6666666666767773,0.0,0.0,0.0,0.0,True,False
5,4,2,1,1925,1924,7.660254037789175,6.73205080759375,1.6666666666767773,747.406504714881,-571.4694014645294,571.4694014645294,0.0,False,True
5,4,2,2,1936,1899,11.990381056744589,9.232050807596876,6.666666666707109,162.50669432232075,-124.25313768681048,124.25313768681048,0.0,False,True
