# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,63.67198996315133,46.383545031567444,-79.35558360836482,-108.02280835932122,26.1417966529596,477.4505550451573,2.9920556437065815e-05,3.178392604585856e-05,3.398433564893999e-06,1.9378788012908954e-06,5.091354340143008e-21,False,252.23169263659918
2,1,67.34324221195466,48.54394788942174,-1265.1550521688641,-191.92534298942573,370.2899705386365,1336.254215366794,8.13158506673304e-05,1.1555919570667124e-05,4.813769617002231e-05,4.2378313378332405e-05,6.7710146757482866e-21,False,683.1861422871641
3,1,79.88175150791149,78.51420665671453,12.851836892751331,386.6480475397064,121.65126107263224,390.5866528053436,1.592069599810897e-05,-8.37605769395209e-06,1.581466393945491e-05,1.449513569693794e-05,1.8273707976646066e-21,False,223.0020876450878
4,1,176.64781755225235,86.06911544800472,-447.7055872423718,176.79048409181777,64.01777410708301,567.6531532428976,2.8879757817505328e-05,-1.171248681921703e-05,8.32231063392076e-06,2.0718296134908063e-05,1.1627034887947352e-21,False,318.7430174601238
5,1,-50.23020990269662,-38.89546833802569,1288.538903037145,1208.8179278798268,-141.96026040390925,278.2780249852147,-9.77451607481679e-06,-4.592652689591102e-06,-1.8454833852508204e-05,9.584265760438113e-06,3.9616094811918574e-21,False,147.45024246827862
6,1,69.99922736025084,52.713386807272435,38.542587784981755,-53.58742502542142,-8.008378359666125,407.75402918916404,2.298179408433479e-05,2.8970244917003035e-05,-1.04108918675197e-06,3.0391368046723764e-06,3.9528204205200685e-21,False,223.19351004115512
7,1,29.446628804699813,23.39268120069329,-28.039697944816492,-12.435748459962307,-2.27468039403433,259.6862963840247,1.736192259629843e-05,1.634766587977829e-05,-2.9570845121867917e-07,5.28242410056303e-07,3.479768138861171e-21,False,133.71566652375435
8,1,111.22257200036444,82.1674228430894,88.71415567539094,4.815309779671793,-92.58146875202364,197.92026082302044,3.1518115829673454e-06,8.605236566188584e-06,-1.2035590937764518e-05,6.606725612374502e-06,1.1467563498208191e-21,False,101.64193249806075
9,1,74.7515800721577,86.66989373595682,107.75684210080561,284.329457483987,154.94839496534055,310.6264305365494,3.604126718723122e-06,-7.873093281221544e-06,2.0143291345468828e-05,1.159179413589166e-05,6.584570933933937e-22,False,178.33529439835908
10,1,41.80348784048548,26.710912245623405,250.8062137640662,1662.5560415479913,276.7963636110595,1313.447665288658,4.736111080897495e-05,-4.44026279969805e-05,3.598352726943758e-05,4.928335924629624e-05,3.757194149059747e-21,False,758.2055268660941
