# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,9.87078359824114,4.255257184002138,292.35879290100064,362.8245475361875,22.58822806939909,76.650486244818,3.90933643035873e-06,-6.709376209284052e-07,2.9364696490219044e-06,2.7203751756201337e-06,0.0,False,41.85192577877125
2,1,18.56196145476712,11.00561557387586,29.23216238367495,142.80827025875922,9.333108020983262,101.83791598901081,2.33555472287832e-06,-5.046892289002267e-06,1.2133040427276436e-06,3.7407429269907017e-06,0.0,False,57.54989118447174
3,1,10.229951483255835,15.82171504900726,24.070511770086767,515.2697240302467,-40.82737559199061,436.49270592800065,1.1570936551195997e-05,-2.0357012245714244e-05,-5.307558826958742e-06,1.6183047419133935e-05,0.0,False,248.96996029436946
4,1,16.614935040326895,4.932111580655596,240.4724539692439,262.5437485010159,34.78606446754429,63.462251899094476,1.0843803134608912e-06,-3.5025383110425766e-07,4.522188380780784e-06,2.3721489666555993e-06,0.0,False,36.49459948700909
5,1,29.540651499999374,0.14489288888855342,233.59151584282031,249.37882862770843,-11.639258100171203,24.437190484392815,6.402928096144293e-07,-3.8588252140329594e-07,-1.513103553022256e-06,9.141277498465289e-07,0.0,False,14.063503843792766
6,1,8.005151898577312,17.070472666722,-3.0319651899492897,-9.11697380390899,-5.94057879089155,32.36041172315923,1.766866193597151e-06,2.162391753504552e-06,-7.722752428159646e-07,4.338345073892002e-07,0.0,False,18.44971908415406
7,1,0.4340143078069814,17.029623139406468,-31.60612618113176,-58.88349429996376,47.210701610995194,96.89395696073991,2.1230955617779933e-06,3.896124489502099e-06,6.1373912094294166e-06,3.194182306793398e-06,0.0,False,49.141266258359565
8,1,0.77822630103792,18.44319956223947,5.4773252107912205,39.4602696133117,-16.420269967603357,41.24096885567854,1.4346772449129245e-06,-7.74214141250945e-07,-2.1346350957884723e-06,1.535892911960401e-06,0.0,False,23.629121722467307
9,1,1.3892183848701025,9.917455434760312,133.0216122089055,253.687664000631,3.5182733724358664,106.96090421812204,5.3505800599129015e-06,-2.49271330654926e-06,4.5737553841665386e-07,3.928308898735284e-06,0.0,False,60.43552151900433
10,1,1.1111320578197612,1.2355825727315344,416.0290867652286,469.91586379924746,-8.891050460708739,49.951838930672984,2.3334072239919285e-06,-1.169233283219298e-06,-1.1558365598921364e-06,1.8442104459592055e-06,0.0,False,28.37246839937238
11,1,1.4804060169494244,9.697683301635497,138.98546981551954,259.01600164341403,3.4475964350087396,106.40379005827226,5.3259790093773615e-06,-2.4760055594357765e-06,4.481875365511405e-07,3.907423552672468e-06,0.0,False,60.114208502653376
12,1,19.25647357035053,10.604638806306715,-0.04583477501712944,27.719347787402583,4.092388001334634,25.0761387444679,9.43002200989927e-07,-8.617346655673177e-07,5.320104401739813e-07,9.407590374220403e-07,0.0,False,14.473215960338308
13,1,14.394888734565344,13.411476120377413,28.53628568422663,510.13337990516357,-33.10929651713453,423.9382867029219,1.2412861244097254e-05,-1.889094988026348e-05,-4.304208547227588e-06,1.5799167716431125e-05,0.0,False,243.06411871432616
14,1,13.005864503423842,14.21342965550152,25.823948710558835,567.2550043708954,-60.39460692508501,484.43605358689155,1.3550253642826012e-05,-2.164276497509585e-05,-7.851298900261113e-06,1.802908382213747e-05,0.0,False,277.3705203405765
15,1,17.17293719688638,11.807569050101108,45.79773361028623,405.7424419190929,28.225151813730662,321.55986622677625,7.669972455077805e-06,-1.572643358499471e-05,3.6692697357849045e-06,1.184119246513932e-05,0.0,False,182.17219177137366
16,1,15.78391296573036,12.609522585236723,34.52282032481302,455.8666915192198,-4.502742651457287,369.09255302552384,1.0121338685593765e-05,-1.7266012942042668e-05,-5.853565446893843e-07,1.3696803198741401e-05,0.0,False,210.72004921140623
17,1,9.081515539923748,1.0200386764037004,398.65247220109774,431.20594930134945,34.58938629033894,69.87567528018518,2.509303386563958e-06,3.9332737504760346e-07,4.4966202177440645e-06,2.4848011924466583e-06,0.0,False,38.22771065302552
18,1,0.9736656360802186,1.0022790879858012,424.2074011431044,477.3068053348332,-9.760349982426371,49.67165820472377,2.2570645448272235e-06,-1.194396727635143e-06,-1.2688454977154275e-06,1.8386512592373416e-06,0.0,False,28.2869424498053
19,1,9.441847049250336,14.67838275630352,70.26558296972843,202.8039242327521,-30.607049372214828,126.4657272772461,4.119143705818762e-06,-4.495848476277793e-06,-3.978916418387974e-06,4.744730397032643e-06,0.0,False,72.9958522620404
20,1,1.1033558433329451,16.60272014479369,2.4843414598612745,107.17387394543577,-20.651540517866067,98.03314742975043,4.087584911396417e-06,-2.7172347001659127e-06,-2.684700267322607e-06,3.6576353519475317e-06,0.0,False,56.271313106885145
21,1,3.7337477599778737,1.0439267511134753,408.0484233260435,452.08572001157654,8.616371722389909,43.98038518765456,2.4734158906670043e-06,-3.8900839389264245e-07,1.1201283239106877e-06,1.536892989676231e-06,0.0,False,23.644507533480464
22,1,3.5210990517659204,1.2024120892591212,405.0120754190713,444.47212130769054,8.394843866442534,40.6707042747804,2.360089075913793e-06,-2.0481390684645826e-07,1.0913297026375295e-06,1.3937115762265298e-06,0.0,False,21.441716557331215
23,1,9.450912358774884,16.8809751592316,0.25268170141653457,2.548684135797984,12.185278590620479,36.02710397567612,1.968068469733117e-06,1.8188283114982504e-06,1.5840862167806804e-06,7.955504017698214e-07,0.0,False,20.684606095272954
24,1,9.360925967281302,16.69372578646578,6.265302347540488,-5.497697058367398,8.633499831900174,36.2481343382739,1.6593018893460874e-06,2.4238968507299933e-06,1.122354978146887e-06,6.790224870990569e-07,0.0,False,20.927860439516447
25,1,9.832145886746657,4.558680740755463,282.6035752153285,355.86266730567576,21.672439402078897,77.91213255424992,4.020216858672184e-06,-7.4162412720039e-07,2.8174171222702628e-06,2.766449385746897e-06,0.0,False,42.56075978072145
26,1,10.467214727366281,15.364881548012725,105.03933089478835,131.5305568359847,125.27912343929705,218.21315369964938,7.00883296380554e-07,-1.0210463897972118e-06,1.62862860471087e-05,8.188530928261611e-06,0.0,False,125.9773988963318
27,1,9.290281475375787,1.1686151678225822,393.8198168042912,429.00073946165,32.2817139229148,67.45110043795606,2.589612895822244e-06,3.028529230939258e-07,4.19662280997892e-06,2.3896084502543398e-06,0.0,False,36.763206926989874
28,1,8.975025491752037,13.600878699285081,59.48961083994195,208.50965036057076,-20.395536632229057,134.09779705083486,5.421089734278487e-06,-4.2652128345623935e-06,-2.651419762189792e-06,5.0213166652399055e-06,0.0,False,77.25102561907538
29,1,16.844337149531427,4.813853041775954,241.43077578906687,257.59336375249063,36.729696535665234,65.25373268263128,7.76321050970823e-07,-2.7424716665171144e-07,4.774860549636482e-06,2.4445340480525833e-06,0.0,False,37.608216123885896
