# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,72.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,72.407,6.0,0.0,0.0,0.0,0.0,0.0,0.0
4,72.407,9.251849,0.0,0.0,0.0,0.0,0.0,0.0
5,72.407,19.411849,0.0,0.0,0.0,0.0,0.0,0.0
6,72.407,29.571849,0.0,0.0,0.0,0.0,0.0,0.0
7,72.407,36.5,0.0,0.0,0.0,0.0,0.0,0.0
8,68.40703,36.5,-0.0001478341313693941,-5.818590394782967e-05,0.0001588726842977399,-8.788658132988627e-05,-3.337360712913887e-05,9.400983369129435e-05
9,68.4,36.5,-0.0002733847946187086,-0.00012462162928303356,0.00030044932420272033,-0.00019985361177902897,-9.894171357032676e-05,0.00022300432467859318
10,62.541151,36.5,-0.00045870550637914343,-0.00011052533641995962,0.0004718332243211489,-0.00032953150747632907,-5.0736297959666675e-05,0.00033341443632553465
11,56.675272,36.5,-0.006683330266832404,-0.0017775146400652421,0.006915667845638941,-0.006503077831804459,-0.0016929559845960684,0.006719830448179941
12,50.809394,36.5,-0.12831132837658843,-0.022453874346002534,0.13026117404242438,-0.1280816570213037,-0.022348355153867155,0.13001676754713698
13,44.943515,36.5,-0.704420908598305,-0.18236501529768387,0.7276440168619447,-0.7041433741704494,-0.18224006686186658,0.7273440268249702
14,39.077636,36.5,-1.6316390136501342,-0.6838259164663145,1.7691420957334596,-1.6313172278976114,-0.683682744061117,1.7687899797778384
15,33.211757,36.5,-2.1209885377580644,-1.2348852217802775,2.454288876288286,-2.1206306348986326,-1.2347278997676194,2.4539004209900477
16,27.345879,36.5,-2.283856326366671,-1.5316742662948906,2.7499137763782806,-2.283477191433254,-1.5315160768485265,2.7495107887479557
17,21.48,36.5,-2.5341531887862874,-1.66729553948531,3.033448005195296,-2.533771096650995,-1.6671708629399948,3.0330602790680032
18,19.902076,29.073044,-2.1217778044673,-1.2863877941002975,2.4812768101000553,-2.1213134699862657,-1.2862772451985978,2.480822442147133
19,18.324153,21.646088,-1.674095428454684,-0.9663170574607571,1.9329677077262537,-1.6735676203480419,-0.9661983440460942,1.9324512464522416
20,16.746229,14.219132,-1.0917133605929439,-0.5284602056080843,1.2128925140376117,-1.0912103985086221,-0.5283153881809938,1.2123767084541752
21,15.1683050171,6.7921763922,-0.016114860479489658,-0.008447371065651212,0.01819469170374203,-0.01583641982573219,-0.00830711857151996,0.01788296429169771
22,15.0,6.0,-0.00014248313532797937,-6.583671933082728e-05,0.00015695833034642479,-8.461393769803737e-08,2.837809390209708e-06,2.8390705615773558e-06
23,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
24,15.6256682704,6.0,-0.0001680044168564098,-8.613770345948072e-05,0.00018879933273329054,6.50390640916901e-06,-8.58681562242751e-06,1.0771917244056178e-05
25,21.4915470054,6.0,-0.0001991410361722371,-6.1047450929244025e-06,0.0001992345858539672,-2.368128633648453e-06,-1.9282044769410317e-06,3.053850967287226e-06
26,27.3574257404,6.0,-0.00014106697363121812,3.1168106018863613e-06,0.00014110140168615908,-7.251487426448137e-06,-6.801686172916851e-06,9.942183094812914e-06
27,33.2233044753,6.0,-0.00010015816012098204,4.5717107010059684e-07,0.0001001592034922783,-7.764766010530237e-06,-1.0089791954851165e-05,1.2731672823728425e-05
28,39.0891832103,6.0,-7.002131207609962e-05,3.51563516661374e-06,7.010951315965092e-05,-7.532750195402661e-06,-6.82965542557938e-06,1.0167916145331091e-05
29,44.9550619453,6.0,-4.722639476754434e-05,8.963918354967476e-06,4.806957660531724e-05,-7.687884969311607e-06,-2.2607293743787553e-06,8.013393326521936e-06
30,50.8209406802,6.0,-2.8716152897759216e-05,1.4267345122667438e-05,3.2065161376434506e-05,-7.601460458365983e-06,9.676949539667973e-07,7.662808533692747e-06
31,56.6868194152,6.0,-1.264034143598935e-05,1.9138661197072302e-05,2.2936141437362787e-05,-6.721769070374345e-06,2.7210663073058407e-06,7.251646798086365e-06
32,62.5526981501,6.0,1.3605776070839413e-06,2.369304369418056e-05,2.373207725672676e-05,-5.02172706865794e-06,3.4495156801999107e-06,6.092364170011254e-06
33,68.4,6.0,5.8222387767452086e-06,2.2100309120624553e-05,2.2854367801376532e-05,-2.276087080639354e-06,2.65748853199682e-06,3.498973806182034e-06
34,68.4185768851,6.0,5.199963440976411e-06,2.1698942201786834e-05,2.23133079677572e-05,-2.257541610676647e-06,2.639776434879091e-06,3.473458471045749e-06
35,68.4,26.352176108868424,-2.5130701988124376e-05,-9.714629470113298e-05,0.00010034418147842602,8.379887932505204e-06,-7.629135938794823e-05,7.675020546566909e-05
36,68.4,16.192176108838794,-2.3401320013737645e-05,-1.2792830716374823e-05,2.6669801201418454e-05,-8.0115428957495e-06,7.150775289704339e-06,1.0738640827138248e-05
37,68.4,6.03217610883952,8.51952083786454e-06,-3.541778724179643e-05,3.6428037119943286e-05,-3.172629464649693e-06,3.6520632281829483e-06,4.8376795617950405e-06
38,1.4776938775482475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2.955387755096176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4.4330816326440825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,5.9107755101926855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,7.388469387741535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,8.866163265290494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,10.343857142837543,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,11.821551020384366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,13.299244897931189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,14.776938775478012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,16.254632653024743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,17.732326530572124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,19.2100204081195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,20.687714285666882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,22.165408163214266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,23.643102040761097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,25.12079591830736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,26.598489795853624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,28.07618367339963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,29.55387755094562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,31.031571428491713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,32.50926530603835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,33.98695918358361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,35.464653061130996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,36.942346938680615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,38.420040816237915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,39.89773469379265,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,41.37542857134728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,42.8531224489019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,44.330816326456535,0.0,0.0,0.0,0.0,0.0,0.0,0.0
