# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,-1.703125424647708,0.9498984214973096,239.72033147170518,112.93618539771148,248.03397147775368,446.28649499587067,-7.405022805877237e-10,8.359466938112625e-11,3.2244416303672807e-09,1.6640432394166902e-09,0.0,False,256.0066521224694
2,1,-56.00142853464235,-21.00268046751458,257.3266275230452,662.1017612757876,403.36334512593857,829.000644285678,3.110436509646383e-09,4.793981402535501e-10,5.243723486637192e-09,2.933385369565675e-09,0.0,False,451.29005685625793
3,1,25.634411565675098,-16.400103211745353,635.7937640556294,2776.2669269843113,1374.4082356968363,3061.366213128596,3.5868655899298117e-09,-1.0326209969106727e-08,1.7867307064059367e-08,1.1322702120439776e-08,0.0,False,1741.9541723753152
4,1,-49.20200789774859,-2.7796225563914416,1115.2210783022197,2683.456516534848,1490.49590062027,2956.6063931677254,1.9641597671338626e-09,-8.229370581378645e-09,1.937644670806203e-08,1.0947085776548174e-08,0.0,False,1684.1670425459588
5,1,1.2592196524231563,-3.1810326343369844,370.09635189434294,1053.7039461794145,593.2900717945585,1212.622118656594,5.77551415158832e-10,-3.865897947690465e-09,7.712770933327285e-09,4.450592031128669e-09,0.0,False,684.7064663277602
6,1,-51.163623148404874,0.6179946518650189,1045.425151047528,2066.7872319343987,1216.187810844938,2315.832180498854,8.583810126347397e-10,-5.780472513129497e-09,1.5810441540983842e-08,8.573861992378634e-09,0.0,False,1319.055691135212
7,1,-54.87317340435923,-10.956875930415023,533.6012354863739,846.599175330574,602.2235951780607,1080.9591104350277,1.5601797059085592e-09,-4.743069030787415e-10,7.828906737314506e-09,4.044468953512844e-09,0.0,False,622.2259928481508
8,1,1.079250824043658,-3.8693176829128695,-68.98617518530841,-172.92877670930133,-119.82353298786585,242.40120539594804,2.2818163189765816e-10,9.03808541803471e-10,-1.5577059288414093e-09,8.489581088217126e-10,0.0,False,130.60893981878908
9,1,-49.3823137106788,-3.4673237710184686,-393.833151895733,-1789.1268020513637,-1100.9755670565125,2369.9785664077813,1.5351962224233244e-10,9.22292834825379e-09,-1.431268237173403e-08,8.472116785573704e-09,0.0,False,1303.4025823960014
10,1,26.49272816666719,-0.3867513333326465,-0.9144603546520607,10.69319046509822,5.409088766695754,13.873815130497984,5.0151352687223974e-11,-2.5298377641140344e-11,7.031815396704867e-11,5.1568654684693053e-11,0.0,False,7.933639182260972
