# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,7.716,1.02,0.0001711230849009565,5.9257954659442514e-05,0.00018109283634766042,-0.00945582246482699,0.0003230633757375067,0.0094613396742253
2,7.608,1.692,0.00012523893273890321,4.426211246268553e-05,0.00013283043654689592,-0.009712704605734626,0.00044791824453805403,0.009723027384104637
3,7.17,1.672,8.981958701479408e-05,-5.776026972727525e-06,9.00051148496453e-05,-0.0094710873237317,0.00032280522379470115,0.009476586848979987
4,7.457,2.868,0.0002498159867752713,-0.00024218962612161817,0.0003479422972986063,-0.009713480803518774,0.00039469766036468986,0.009721496570149325
5,8.995,2.457,0.0005376166776012211,-0.00010369620153594187,0.0005475258845460715,-0.009845415818003933,0.00031661737964097593,0.009850505529895042
6,9.611,2.292,0.0005988508314623518,-9.609939660784443e-05,0.0006065124997652908,-0.009920486586714183,0.00018154088925774725,0.009922147510073035
7,10.155,1.505,0.0005216739058373637,-0.00013890717126261774,0.0005398507814755786,-0.010089584536685233,-3.466404795581776e-06,0.010089585132148892
8,12.323,0.635,0.0009233903180142448,-0.00014511454941273645,0.000934723441373816,-0.009027514752259824,-0.00040851796498513667,0.009036753262648281
9,13.249,1.1,0.0008365018690799225,0.00018686131578547326,0.000857118736413621,-0.008948078912158928,-0.0003573421219944409,0.008955211310202278
10,14.424,0.566,0.0003482329684270282,0.0006142181569511115,0.000706066671517584,-0.007361210316859914,1.077383683960461e-05,0.0073612182011271125
11,15.663,0.566,-0.00024097039229288315,1.7387577686734388e-05,0.00024159689116294155,-0.005657448570977476,-0.0009075234150349557,0.005729775133641092
12,15.746,0.205,-0.0002203079823952384,3.274027470872806e-05,0.0002227274852708207,-0.005497080959804695,-0.000673065800611926,0.005538132957107538
13,14.68,-0.023,-0.0002887670114571717,0.00010377356373856151,0.0003068474204501443,-0.007138991967161912,-0.00024168036482604966,0.007143081667315919
14,14.799,-0.355,-0.00025237445020631286,7.178672702572996e-05,0.0002623855889602273,-0.006667240316342936,-0.0001458235138376789,0.006668834825744045
15,13.802,-0.582,-0.00010730566660136984,-1.6109938744680288e-05,0.0001085082310754428,-0.0075992581574479655,-7.254245583408335e-05,0.0075996043944035595
16,12.351,-0.392,7.238558948180658e-05,-0.00011715962726502942,0.0001377172894937642,-0.008794337340749888,-0.0001928147249779708,0.008796450805925999
17,12.338,-0.739,4.853878845891696e-05,-0.00011870099133931642,0.00012824172226695945,-0.008345263877363623,-0.0001320756884302092,0.008346308954879663
18,11.976,-0.701,7.114428507831207e-05,-0.00013004673894513293,0.0001482351632021488,-0.00850358644921932,-0.0001408261183700786,0.0085047524652374
19,10.905,-0.511,0.00011270113802256364,-0.00010198057989181893,0.00015199205632746932,-0.008913343327158645,-8.208241638471469e-05,0.008913721265043185
20,10.953,-0.115,0.0001770322869946786,-0.00012300100621907354,0.00021556826800220576,-0.009354157744591895,-0.00011743253704851853,0.009354894842352114
21,9.299,0.0,0.00016879069045334753,2.828474925725314e-05,0.00017114416210979407,-0.009316378819904129,0.00014765168976033522,0.009317548783743895
22,9.125,0.485,0.00022221682252459088,4.2516318912321245e-05,0.00022624754934977688,-0.009676548034077312,0.0002234983298933297,0.009679128750010023
23,8.786,0.138,0.00017218924042052518,5.804154100605627e-05,0.00018170843403363294,-0.009293349781014804,0.0002039437985951102,0.009295587298566632
24,8.123,0.715,0.00018822000875746807,7.228045010536935e-05,0.00020162151463595383,-0.009475175562628082,0.00030168604146647154,0.009479977131314194
25,8.228,0.991,0.00020294889725109948,7.394121398072412e-05,0.00021599897689660608,-0.009686528869768639,0.0003571345470798252,0.00969311026603841
26,20.0,0.566,0.0,-5.124193971462387e-06,5.124193971462387e-06,0.0,-0.0009837057396806217,0.0009837057396806217
27,20.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,4.8,0.0,-2.8070287279198525e-05,2.8070287279198525e-05,0.0,0.006288406785585115,0.006288406785585115
