# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,3.68235714285714,0.091,0.0,0.0,0.0,0.0,0.0,0.0
2,7.09871428571428,0.091,0.0,0.0,0.0,0.0,0.0,0.0
3,10.5150714285714,0.091,0.0,0.0,0.0,0.0,0.0,0.0
4,13.9314285714286,0.091,0.0,0.0,0.0,0.0,0.0,0.0
5,17.3477857142857,0.091,0.0,0.0,0.0,0.0,0.0,0.0
6,20.7641428571429,0.091,0.0,0.0,0.0,0.0,0.0,0.0
7,24.1805,0.091,0.0,0.0,0.0,0.0,0.0,0.0
8,27.5968571428571,0.091,0.0,0.0,0.0,0.0,0.0,0.0
9,31.0132142857142,0.091,0.0,0.0,0.0,0.0,0.0,0.0
10,34.4295714285714,0.091,0.0,0.0,0.0,0.0,0.0,0.0
11,37.8459285714286,0.091,0.0,0.0,0.0,0.0,0.0,0.0
12,41.2622857142857,0.091,0.0,0.0,0.0,0.0,0.0,0.0
13,44.6786428571428,0.091,0.0,0.0,0.0,0.0,0.0,0.0
14,48.095,0.091,0.0,0.0,0.0,0.0,0.0,0.0
15,51.5113571428572,0.091,0.0,0.0,0.0,0.0,0.0,0.0
16,54.9277142857143,0.091,0.0,0.0,0.0,0.0,0.0,0.0
17,58.3440714285715,0.091,0.0,0.0,0.0,0.0,0.0,0.0
18,61.7604285714286,0.091,0.0,0.0,0.0,0.0,0.0,0.0
19,65.1767857142857,0.091,0.0,0.0,0.0,0.0,0.0,0.0
20,68.5931428571429,0.091,0.0,0.0,0.0,0.0,0.0,0.0
21,72.0095,0.091,0.0,0.0,0.0,0.0,0.0,0.0
22,75.4258571428571,0.091,0.0,0.0,0.0,0.0,0.0,0.0
23,78.8422142857142,0.091,0.0,0.0,0.0,0.0,0.0,0.0
24,82.2585714285714,0.091,0.0,0.0,0.0,0.0,0.0,0.0
25,85.6749285714286,0.091,0.0,0.0,0.0,0.0,0.0,0.0
26,89.0912857142857,0.091,0.0,0.0,0.0,0.0,0.0,0.0
27,92.5076428571429,0.091,0.0,0.0,0.0,0.0,0.0,0.0
28,95.924,0.091,0.0,0.0,0.0,0.0,0.0,0.0
29,99.340357142857,0.091,0.0,0.0,0.0,0.0,0.0,0.0
30,102.756714285714,0.091,0.0,0.0,0.0,0.0,0.0,0.0
31,109.589428571429,0.091,0.0,0.0,0.0,0.0,0.0,0.0
32,116.422142857143,0.091,0.0,0.0,0.0,0.0,0.0,0.0
33,123.254857142857,0.091,0.0,0.0,0.0,0.0,0.0,0.0
34,130.087571428571,0.091,0.0,0.0,0.0,0.0,0.0,0.0
35,136.920285714286,0.091,0.0,0.0,0.0,0.0,0.0,0.0
36,143.753,0.091,0.0,0.0,0.0,0.0,0.0,0.0
37,150.585714285714,0.091,0.0,0.0,0.0,0.0,0.0,0.0
38,157.418428571429,0.091,0.0,0.0,0.0,0.0,0.0,0.0
39,164.251142857143,0.091,0.0,0.0,0.0,0.0,0.0,0.0
40,171.083857142857,0.091,0.0,0.0,0.0,0.0,0.0,0.0
41,177.916571428571,0.091,0.0,0.0,0.0,0.0,0.0,0.0
42,184.749285714286,0.091,0.0,0.0,0.0,0.0,0.0,0.0
43,191.582,0.091,0.0,0.0,0.0,0.0,0.0,0.0
44,191.582,6.86,0.0,-1.5675512359084685e-07,1.5675512359084685e-07,0.0,-1.6859591294186824e-05,1.6859591294186824e-05
45,184.7574,6.86,-1.0426571076726311e-06,-2.3170712790804553e-07,1.0680927100695202e-06,-0.00011213945364576634,-2.4928086598631832e-05,0.00011487674510291395
46,177.9328,6.86,-3.032145830621593e-06,-5.090543463112559e-07,3.07458040481206e-06,-0.000325999240617891,-5.472205165090812e-05,0.00033056014251619365
47,171.1082,6.86,-7.76600411834822e-06,-1.3092179526298859e-06,7.875587064701266e-06,-0.0008354400290728329,-0.00013968469668926541,0.0008470371046573981
48,164.2836,6.86,-1.8777562988825033e-05,-2.670341791054904e-06,1.8966486155330566e-05,-0.002048885721723449,-0.0003076424111755137,0.0020718534103155327
49,157.459,6.86,-5.2235119793914674e-05,2.865185977532508e-06,5.231364096075196e-05,-0.0055208005209367835,-7.530514003932487e-05,0.005521314087795785
50,151.17175,9.52275,-0.0001270239395691989,8.246060944974492e-06,0.0001272913144907685,-0.01104323307151411,0.0001133775564748661,0.011043815062834725
