# units: SI
element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,203.5752160812134,38.11355803682148,1174.3565138926567,1611.091903742558,-549.8462147173359,1024.7454204091127,0.9491680422222508,-0.9495917464230403,-4.787250624762894,2.575027052249599,2.5585280920148477,True,7.270575883300239
2,1,165.1924174875688,75.75709743785076,154.53916456358786,224.79360588671508,-78.02931007711804,148.21736858800833,0.7480437826396127,-0.74809701986959,-3.337770127633523,1.8288757971671823,1.8283494573891887,True,5.992565082038112
3,1,176.1290541447073,82.27299254730734,139.81048321830679,201.34413060081405,-70.60718546029823,133.4037693610839,0.6621414410748727,-0.662186570394825,-3.049728201372676,1.6624294559628012,1.6618587666278224,True,5.449558195626395
4,1,163.4759829509206,72.69781492225434,179.90705529074998,270.0543516627319,-90.33219885028267,174.85817382761985,0.8985767642503362,-0.8985279052671391,-3.5254970681921938,1.9785546979445165,1.9767293261468912,True,6.557188228530052
5,1,224.0428245797511,105.93017655594385,132.95528438903685,214.58972898388694,-67.67287158450573,136.90435906965956,0.9075766792467448,-0.9073547971504392,-2.8830758280502375,1.7033865162012427,1.703470768133734,True,6.11914817137847
6,1,77.5217348617325,21.967196398284653,340.1219013461128,443.74251279394963,-164.18892763460042,298.25891576370356,0.8034674416183449,-0.8037814694341399,-5.399706886936432,2.8169169106892435,2.812120050819041,True,7.7250114708430715
7,1,174.0764765731321,79.45639409210688,160.93377334780723,239.94186141329547,-80.71319776120104,155.64620292950661,0.7803659256685531,-0.7803427601373887,-3.131780186608565,1.7495612835211067,1.748715530396014,True,5.76363862882377
8,1,271.55050482647346,130.4208762682259,103.81055682457578,206.0378149818806,-50.020671409168834,124.00598521953712,1.3854726614156547,-1.3849342152378892,-2.6864991028678,1.9295356754876767,1.9289006617501177,True,6.51482367730091
9,1,294.7446827112543,142.46147101306647,80.86365455323569,192.33737887342897,-35.734382715701955,115.02225161064563,2.265213823959858,-2.264527032602423,-2.902868460762459,2.69003705960062,2.6892123179407847,True,8.89436352476411
10,1,83.37769909601887,9.35248594281231,689.2640315274097,820.7836440757998,-317.7366438875382,562.1856803206766,0.5963733772598658,-0.5971848135636535,-4.6028377026965295,2.377535282190707,2.3687993893818042,True,7.68213832239104
11,1,204.66221709684223,41.96582972383584,1110.8773278704673,1522.486660176386,-520.7742782017834,969.9060996929223,1.1521940490053186,-1.1525187228880398,-5.587385254960103,3.02202642891628,3.0065587490531445,True,7.520509004372116
12,1,161.72018712412083,4.367246708785969,1841.5266320775897,1890.143595214947,-775.5229499837787,1344.9177790870767,-0.0006683930596077282,-0.0022541351965081015,-0.04871358567511551,0.024369694332569913,0.002645300841927174,False,-6.95137120217521
13,1,79.90534254515671,11.13719166178752,596.0887445279441,754.4425145779018,-281.4440884699414,506.5675906916413,0.9424861707869394,-0.9432194538874423,-5.776752650974495,3.0383695007960045,3.030270856941343,True,9.04556203310824
14,1,105.7626742721531,20.622236901860404,648.7151897249911,837.8057741443139,-306.3536466562629,555.4278038657685,1.191177699729856,-1.1918061435249492,-6.425431901393587,3.4265429778663163,3.417689617913716,True,8.758438070855732
15,1,235.36843068121004,111.78733705996768,126.7111501436242,215.97784167583322,-63.19466393541645,134.0318471067166,1.0204352889692387,-1.0201547877528612,-2.8416247461203796,1.7492026082604337,1.7493730611385352,True,5.475682025756242
16,1,105.33267164161668,16.373848844482065,735.9234747543757,946.4248133658961,-346.1147581193932,626.7582885082533,1.0619045600841384,-1.0627094121462526,-5.736252708962117,3.0585364012903224,3.0485821574336818,True,8.829430705624986
17,1,95.47858986803561,23.03968494398235,504.4780831346152,636.589557606061,-237.457071883834,426.9812975682978,0.9256570897329102,-0.9261098394121348,-5.970233431851899,3.1254090928499814,3.118804489305679,True,7.092629575833939
18,1,78.00102299469846,18.764826167902736,418.16642573304426,535.9806300657569,-199.72464552613687,360.7676828150747,1.001670420517108,-1.0021501245555875,-6.19466632887536,3.2553489714221717,3.2496569924788212,True,8.063126691321003
19,1,161.87069296153624,8.501845907146366,1611.9711966265104,1843.6990933442637,-706.0108518497858,1239.8870859850351,0.009091245963386521,-0.011395190784423664,-0.11126481900042491,0.056567557039833676,0.036545862546198814,False,-9.499106694794023
20,1,292.7618781289505,138.62189162325868,107.99854563878445,256.1200002121724,-46.82769394671815,152.19054897566988,2.8674998899907003,-2.8666952203207003,-3.605700328746476,3.38681518627167,3.3853432535673718,True,11.235926009041918
21,1,97.78433017098068,4.277384416596502,919.1084196471162,1229.7712292375552,-425.0066413202881,784.239069689381,0.10626999141731805,-0.10780917358105653,-0.6714497992847643,0.3523757659963124,0.339980019477133,True,1.6958662243420122
22,1,286.2468381424183,132.58046103016588,144.22321213670799,323.27722060268576,-63.9190818947842,190.90872063166668,2.9319741160509656,-2.9311592724941704,-4.155534699340395,3.5932158914158925,3.5905993106928964,True,11.927909045720796
23,1,275.26626350858965,130.60087271939696,118.72618796840192,246.81228037781352,-55.42135566522209,146.87381468323989,1.822661715308243,-1.8220659728230706,-3.1166661123328,2.3977931299631896,2.3960938008010246,True,8.008642475608298
24,1,288.7124547409191,130.30897925738552,166.77929794351436,391.03008616322063,-67.3512365714647,227.21713097306488,3.5501397057218966,-3.549060441471148,-4.281460668712486,4.145164296732933,4.141638992894369,True,13.777621802448692
