# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,315.5,162.0,-211.45739334048469,-304.73148221310737,370.91172190987686,-211.46487431126812,-303.6759681043158,370.0493030280882
3,302.2,130.6,-177.21367168911598,-209.60270064816197,274.4776449049007,-176.9978347773896,-208.72974097353165,273.67195377451765
4,168.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,319.5,162.0,-204.26831490001507,-278.9003484211676,345.7035562755183,-204.27623373775464,-277.8362724725105,344.8503646097838
6,311.9,130.6,-158.72456766369612,-215.17790689839168,267.3855269030098,-158.61302568308358,-214.2688163085999,266.58810468329426
7,200.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,321.6,162.0,-205.4237146127484,-271.19438975056255,340.21360871881643,-205.43206802749336,-270.1284677135452,339.36959740572
9,328.8,146.1,-140.3016302082685,-223.764306081449,264.1117417215867,-140.35356471063102,-222.74318713314372,263.27485740421923
10,331.3,130.6,-73.12946317339541,-108.7955409896911,131.08923725183755,-73.2354710426498,-107.87296610023819,130.38409041789544
11,307.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,327.6,162.0,-190.07442779134306,-276.26365679734465,335.3354979229719,-190.08353103488503,-275.2023484471947,334.4668613802289
13,331.3,146.1,-130.70045654582415,-208.02525337710944,245.67685154262588,-130.76905886510488,-207.00914267785097,244.85369490510885
14,333.7,130.6,-56.13348753191385,-85.78067286246983,102.51483921478682,-56.26588139246046,-84.86210109605986,101.82055593694385
15,310.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,347.0,130.6,-3.7898600814619767,-5.558586251845833,6.727623693122891,-4.0532792112760685,-4.690649492608509,6.1992955266764955
17,372.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,386.9,130.6,0.39045890426233376,0.01996016335818962,0.39096875071932274,-0.1266221921692896,0.5830750108945575,0.5966654404936194
19,394.1,130.6,0.3948802906284149,0.023964535648041574,0.3956068033990412,-0.1566473253254913,0.5401812642429221,0.562435936592526
20,453.4,97.9,0.222675650494071,-0.00890678545737153,0.22285371020052888,-0.9060683177607729,0.08292824817072032,0.9098554230175812
21,460.6,97.9,0.20994973155510022,-0.008805243146741137,0.21013429536116154,-0.9356839658170637,0.07009351701134009,0.938305699126978
22,515.0,65.3,0.104460572234514,0.003275709948231677,0.10451192002459365,-1.034163243069991,-0.02071475590297013,1.0343706852135557
23,521.1,65.3,0.09919025464366515,0.0015000474138594164,0.09920159655226807,-1.0185355378384693,-0.026793717703633743,1.0188878962615475
24,577.9,31.4,0.023830002104069714,0.0044325544454017415,0.02423874046214897,-0.5196519524524618,-0.014330251967298403,0.5198495049618705
25,585.1,31.4,0.020901999608010757,0.004376703154240887,0.02135530655630174,-0.4648486732119406,-0.029679325055705925,0.465795181729764
26,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,5.952830188674049,3.0566037735822373,-16.3048037707767,2.118177404511439,16.44181563941516,-16.287686658707972,2.1174582722942747,16.42474858946587
28,11.905660377347308,6.113207547164069,-35.35538168930989,2.034614679100949,35.41387681812317,-35.30375955226557,2.033034905335241,35.36224921368116
