# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,-50.0,0.9,-48.7,0.9,85.31072543008528,99.99999999999977,,0.8531072543008548,False,False
1,1,-48.7,0.9,-46.38535000000229,0.9,87.46171949232702,200.0,,0.4373085974616351,False,False
2,1,-46.38535000000229,0.9,-44.07070000000485,0.9,95.14287199421523,200.0,,0.47571435997107614,False,False
3,1,-44.07070000000485,0.9,-41.75605000000963,0.9,111.2563416687306,200.0,,0.556281708343653,False,False
4,1,-41.75605000000963,0.9,-39.44140000001886,0.9,151.24305902962976,200.0,,0.7562152951481488,False,False
5,1,-39.44140000001886,0.9,-37.12675000002392,0.9,200.0,200.0,,1.0,True,False
6,1,-37.12675000002392,0.9,-34.81210000002897,0.9,200.0,200.0,,1.0,True,False
7,1,-34.81210000002897,0.9,-32.4974500000393,0.9,200.0,200.0,,1.0,True,False
8,1,-32.4974500000393,0.9,-30.182800000048797,0.9,200.0,200.0,,1.0,True,False
9,1,-30.182800000048797,0.9,-27.868150000056215,0.9,200.0,200.0,,1.0,True,False
10,1,-27.868150000056215,0.9,-25.553500000062378,0.9,200.0,200.0,,1.0,True,False
11,1,-25.553500000062378,0.9,-23.238850000056903,0.9,200.0,200.0,,1.0,True,False
12,1,-23.238850000056903,0.9,-20.924200000050178,0.9,200.0,200.0,,1.0,True,False
13,1,-20.924200000050178,0.9,-18.609550000044425,0.9,200.0,200.0,,1.0,True,False
14,1,-18.609550000044425,0.9,-16.294900000037288,0.9,200.0,200.0,,1.0,True,False
15,1,-16.294900000037288,0.9,-13.980250000031532,0.9,200.0,200.0,,1.0,True,False
16,1,-13.980250000031532,0.9,-11.665600000025783,0.9,200.0,200.0,,1.0,True,False
17,1,-11.665600000025783,0.9,-9.350950000019758,0.9,200.0,200.0,,1.0,True,False
18,1,-9.350950000019758,0.9,-7.036300000011778,0.9,200.0,200.0,,1.0,True,False
19,1,-7.036300000011778,0.9,-4.721650000005752,0.9,67.11298582734302,200.0,,0.3355649291367151,False,False
20,1,-4.721650000005752,0.9,-2.4069999999999965,0.9,22.957939729144293,200.0,,0.11478969864572147,False,False
21,1,-2.4069999999999965,0.9,-1.107,0.9,5.413375601866983,99.99999999999973,,0.05413375601866998,False,False
