# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_res,mobilization,failed,softened
0,1,-50.0,0.9,-48.00419208333796,0.9,91.70256325751372,200.0,,0.45851281628756857,False,False
1,1,-48.00419208333796,0.9,-46.008384166675455,0.9,94.68165183017693,200.0,,0.47340825915088464,False,False
2,1,-46.008384166675455,0.9,-44.01257625001388,0.9,100.85023251765928,200.0,,0.5042511625882964,False,False
3,1,-44.01257625001388,0.9,-42.01676833335092,0.9,110.75789158664904,200.0,,0.5537894579332452,False,False
4,1,-42.01676833335092,0.9,-40.020960416689796,0.9,125.44961033301769,200.0,,0.6272480516650885,False,False
5,1,-40.020960416689796,0.9,-38.025152500029144,0.9,146.3379131588907,200.0,,0.7316895657944535,False,False
6,1,-38.025152500029144,0.9,-36.02934458336849,0.9,173.07600942569962,200.0,,0.8653800471284981,False,False
7,1,-36.02934458336849,0.9,-34.03353666670552,0.9,200.0,200.0,,1.0,True,False
8,1,-34.03353666670552,0.9,-32.0377287500458,0.9,200.0,200.0,,1.0,True,False
9,1,-32.0377287500458,0.9,-30.04192083338515,0.9,200.0,200.0,,1.0,True,False
10,1,-30.04192083338515,0.9,-28.046112916724724,0.9,200.0,200.0,,1.0,True,False
11,1,-28.046112916724724,0.9,-26.050305000063148,0.9,200.0,200.0,,1.0,True,False
12,1,-26.050305000063148,0.9,-24.054497083392317,0.9,200.0,200.0,,1.0,True,False
13,1,-24.054497083392317,0.9,-22.058689166719866,0.9,200.0,200.0,,1.0,True,False
14,1,-22.058689166719866,0.9,-20.06288125004788,0.9,200.0,200.0,,1.0,True,False
15,1,-20.06288125004788,0.9,-18.06707333337589,0.9,200.0,200.0,,1.0,True,False
16,1,-18.06707333337589,0.9,-16.071265416703213,0.9,200.0,200.0,,1.0,True,False
17,1,-16.071265416703213,0.9,-14.075457500031924,0.9,200.0,200.0,,1.0,True,False
18,1,-14.075457500031924,0.9,-12.079649583360627,0.9,200.0,200.0,,1.0,True,False
19,1,-12.079649583360627,0.9,-10.083841666688876,0.9,200.0,200.0,,1.0,True,False
20,1,-10.083841666688876,0.9,-8.088033750018035,0.9,182.81248151796802,200.0,,0.9140624075898401,False,False
21,1,-8.088033750018035,0.9,-6.092225833345822,0.9,123.65750144584712,200.0,,0.6182875072292355,False,False
22,1,-6.092225833345822,0.9,-4.096417916672685,0.9,104.96087979032731,200.0,,0.5248043989516366,False,False
23,1,-4.096417916672685,0.9,-2.10061,0.9,63.829700345590275,200.0,,0.3191485017279514,False,False
24,1,-2.10061,0.9,-1.107,0.9,13.408799178117398,200.0,,0.06704399589058699,False,False
