# units: SI
# forces and capacities are per unit width of slope (per-element value divided by Spacing / S)
element_id,line_id,x_start,y_start,x_end,y_end,axial_force,t_allow,t_cap,t_res,mobilization,failed,softened
0,1,-50.0,0.9,-48.7,0.9,70.87381861534547,99.99999999999977,99.99999999999977,,0.7087381861534563,False,False
1,1,-48.7,0.9,-47.20667741935645,0.9,72.222632124472,200.0,200.0,,0.36111316062236,False,False
2,1,-47.20667741935645,0.9,-45.7133548387129,0.9,75.26620213182565,200.0,200.0,,0.3763310106591283,False,False
3,1,-45.7133548387129,0.9,-44.22003225806935,0.9,80.07734765327065,200.0,200.0,,0.40038673826635324,False,False
4,1,-44.22003225806935,0.9,-42.7267096774258,0.9,87.40948388033955,200.0,200.0,,0.4370474194016978,False,False
5,1,-42.7267096774258,0.9,-41.23338709678503,0.9,97.61519618255947,200.0,200.0,,0.48807598091279736,False,False
6,1,-41.23338709678503,0.9,-39.740064516146404,0.9,112.9208015027444,200.0,200.0,,0.564604007513722,False,False
7,1,-39.740064516146404,0.9,-38.24674193550474,0.9,136.8310440852309,200.0,200.0,,0.6841552204261545,False,False
8,1,-38.24674193550474,0.9,-36.75341935486276,0.9,165.38479775966812,200.0,200.0,,0.8269239887983406,False,False
9,1,-36.75341935486276,0.9,-35.26009677422194,0.9,196.72561220755824,200.0,200.0,,0.9836280610377912,False,False
10,1,-35.26009677422194,0.9,-33.76677419358435,0.9,200.0,200.0,200.0,,1.0,True,False
11,1,-33.76677419358435,0.9,-32.273451612944335,0.9,200.0,200.0,200.0,,1.0,True,False
12,1,-32.273451612944335,0.9,-30.780129032305553,0.9,200.0,200.0,200.0,,1.0,True,False
13,1,-30.780129032305553,0.9,-29.286806451664873,0.9,200.0,200.0,200.0,,1.0,True,False
14,1,-29.286806451664873,0.9,-27.793483871024186,0.9,200.0,200.0,200.0,,1.0,True,False
15,1,-27.793483871024186,0.9,-26.300161290383503,0.9,200.0,200.0,200.0,,1.0,True,False
16,1,-26.300161290383503,0.9,-24.806838709738564,0.9,200.0,200.0,200.0,,1.0,True,False
17,1,-24.806838709738564,0.9,-23.313516129089376,0.9,200.0,200.0,200.0,,1.0,True,False
18,1,-23.313516129089376,0.9,-21.82019354844018,0.9,200.0,200.0,200.0,,1.0,True,False
19,1,-21.82019354844018,0.9,-20.326870967790992,0.9,200.0,200.0,200.0,,1.0,True,False
20,1,-20.326870967790992,0.9,-18.8335483871418,0.9,200.0,200.0,200.0,,1.0,True,False
21,1,-18.8335483871418,0.9,-17.340225806492608,0.9,200.0,200.0,200.0,,1.0,True,False
22,1,-17.340225806492608,0.9,-15.84690322584214,0.9,200.0,200.0,200.0,,1.0,True,False
23,1,-15.84690322584214,0.9,-14.353580645194242,0.9,200.0,200.0,200.0,,1.0,True,False
24,1,-14.353580645194242,0.9,-12.860258064543714,0.9,200.0,200.0,200.0,,1.0,True,False
25,1,-12.860258064543714,0.9,-11.36693548389568,0.9,200.0,200.0,200.0,,1.0,True,False
26,1,-11.36693548389568,0.9,-9.873612903245508,0.9,200.0,200.0,200.0,,1.0,True,False
27,1,-9.873612903245508,0.9,-8.38029032259712,0.9,200.0,200.0,200.0,,1.0,True,False
28,1,-8.38029032259712,0.9,-6.886967741947302,0.9,200.0,200.0,200.0,,1.0,True,False
29,1,-6.886967741947302,0.9,-5.393645161298558,0.9,200.0,200.0,200.0,,1.0,True,False
30,1,-5.393645161298558,0.9,-3.900322580649096,0.9,186.78717503907922,200.0,200.0,,0.9339358751953961,False,False
31,1,-3.900322580649096,0.9,-2.4069999999999965,0.9,172.82760087594343,200.0,200.0,,0.8641380043797171,False,False
32,1,-2.4069999999999965,0.9,-2.100571,0.9,176.4285384615382,176.4285384615382,176.4285384615382,,1.0,True,False
33,1,-2.100571,0.9,-1.107,0.9,20.748723200815014,76.42853846153844,76.42853846153844,,0.2714787384198968,False,False
