# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,-6.0,0.0,0.0,0.000870921542910938,0.000870921542910938,0.0,0.001616389411134015,0.001616389411134015
2,0.0,0.0,-0.005118654552934512,0.0009642704677053068,0.005208689083365009,-0.0022806412996534413,0.0024038493731474344,0.00331358062320298
3,6.43,6.0,-0.006377972581953575,-0.0032938786820785665,0.007178312547416919,-0.005031761398871863,0.00500619277100531,0.007097928489048248
4,20.0,6.0,0.0,-0.0018040322498056544,0.0018040322498056544,0.0,0.007492039950682972,0.007492039950682972
5,20.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-6.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-5.5000000000041505,0.0,-0.00026224335385143454,0.000874307762589186,0.0009127900308192224,-6.942511921999934e-05,0.0016167763110966691,0.001618266197911229
8,-5.0000000000063345,0.0,-0.0005268038404288534,0.000890526579086952,0.001034678633369269,-0.00014065821645834408,0.0016242408012454163,0.0016303198809704783
9,-4.500000000005166,0.0,-0.0007949416467730732,0.0009196582361111316,0.001215608281076319,-0.00021439746974812404,0.0016399375401942146,0.0016538928051033565
10,-4.000000000003881,0.0,-0.0010670118501455537,0.00095508665347228,0.0014320282134063966,-0.0002906196422159229,0.001658924308410828,0.0016841881241352033
11,-3.5000000000061227,0.0,-0.0013477420221635532,0.0009967305050683714,0.001676269745011033,-0.0003735662259749034,0.0016840034151410221,0.0017249403547357105
12,-3.000000000008335,0.0,-0.001639637158924312,0.0010429160816234722,0.0019432148533382115,-0.00046466626087913456,0.0017177549791986984,0.0017794934398758868
13,-2.5000000000070215,0.0,-0.0019520140350612757,0.0010944661476175658,0.002237904140341368,-0.0005725650891014228,0.0017670066236854954,0.0018574561069931463
14,-2.0000000000056204,0.0,-0.002308119790136309,0.0011620526726605657,0.0025841407430046153,-0.0007181973465069851,0.0018510945804275486,0.0019855373515041
15,-1.5000000000042153,0.0,-0.0027361452016310813,0.0012552233721319066,0.0030103282675407656,-0.0009257126474123962,0.00199221638807012,0.0021967862987724643
16,-1.0000000000028102,0.0,-0.0032525606130213223,0.0013460544609898404,0.0035200870945657427,-0.0012029396833377953,0.002183183439350398,0.002492659987162844
17,-0.5000000000014051,0.0,-0.003934717847898948,0.0013758571172866028,0.004168331482711366,-0.0016017792965033525,0.0024103025949578265,0.0028940033714505596
18,0.35722222222109146,0.3333333333322782,-0.006548452317027753,0.0006576013685035129,0.0065813879469488685,-0.003206955475873952,0.002367252347957231,0.003986031498012396
19,0.7144444444423598,0.6666666666647214,-0.0071915216361133575,0.0003884573788206325,0.007202005455277491,-0.003624573183359004,0.0023591420489202167,0.004324705997927339
20,1.0716666666633077,0.9999999999968658,-0.007546207652364165,0.0001352930898255566,0.007547420364121375,-0.003865003629680375,0.0024076491341138814,0.004553573037784921
21,1.4288888888844136,1.3333333333291575,-0.007735862656804057,-6.818447299318802e-05,0.007736163142494662,-0.0040132365499764115,0.002537766194129043,0.0047482970486407835
22,1.7861111111055261,1.6666666666614551,-0.007835395662489102,-0.00020543089703084258,0.007838088226168926,-0.004129112889651549,0.002761401836303928,0.00496738496163014
23,2.1433333333266846,1.9999999999937959,-0.007885949735084576,-0.0003002898831340843,0.0078916650485302,-0.004243371496011729,0.003051488084097052,0.005226641481922318
24,2.500555555547796,2.3333333333260926,-0.007907801637995673,-0.0003946154289706581,0.007917641573263388,-0.004368536730120387,0.0033628235469587383,0.005512957044127142
25,2.8577777777689084,2.6666666666583905,-0.00791403791166511,-0.0005216450096534808,0.007931211104451137,-0.004511567294241859,0.003658549227943433,0.005808547314411608
26,3.21499999999011,2.9999999999907714,-0.007916824069069748,-0.0006990400907464161,0.00794762608513214,-0.00467840355700212,0.0039175071168981316,0.0061019932688522035
