element_id,material_id,x_centroid,y_centroid,sigma_x,sigma_y,tau_xy,sigma_vm,eps_x,eps_y,gamma_xy,max_shear_strain,vp_shear_strain,plastic,yield_function
1,1,2.360669889797565,14.060171927980178,4027.11698930786,3864.3434172877687,0.02871450366539854,143.84144462144883,-0.000391746708896039,0.00027184911545280157,6.188711979071703e-07,0.00033179805646461256,0.00016130702547023068,True,0.00049244841358842
2,1,67.90241907761546,4.715105084886858,5895.289466723566,6156.437611174912,-354.41016460885567,731.8222157539407,0.045374237240597304,-0.04674854251352535,-0.2559068948406951,0.13599167748122787,0.13547112355061827,True,4.723262455713886
3,1,73.56188899000227,1.0859609513691513,6340.316535239073,6733.5101113544315,-376.94171774158525,830.8919143050139,0.0017738295311124338,-0.003386607146750354,-0.009777775741871796,0.005527997041527973,0.004655721614639854,False,-3.278673518587773
4,1,48.81531554285997,5.145463098621509,5659.704582497765,5602.072366252534,-312.8798633702443,600.7398498891663,-0.027866433189394302,0.02680059358417474,-0.5891126008983721,0.2958217961685323,0.2952204177724795,True,12.93210867278983
5,1,77.2499371094893,4.679400481509641,5980.9177378751065,6372.468153513515,-351.7545337335708,783.6795748371014,0.019960605664616007,-0.02145943107238897,-0.07335094774112784,0.04211882292341665,0.04132378338022482,True,0.6456277642181405
6,1,39.347227377123694,5.293532056828524,5549.592626959689,5354.960422681131,-257.95978721979014,525.9937956091028,-0.07251151783010418,0.07158760336340779,-0.3637658370783244,0.19563367613606078,0.1956105087327371,True,7.42455852377028
7,1,81.47601761256249,3.7674709353217004,6135.568832729105,6539.65407788408,-370.34751421628835,822.9388118492352,0.006088223791772655,-0.00767420751066472,-0.02216763847895046,0.01304615567023245,0.012166855492972436,False,-0.30521806144003705
8,1,80.26282726337739,4.758108802357466,6017.360043922323,6437.4036078287445,-356.0373159071193,805.4011791913302,0.014242387803116255,-0.01578780329986901,-0.049821817135927086,0.029086190195725073,0.02824824594361593,True,0.6162667099201755
9,1,42.55482390036804,5.122246240498122,5607.094672983449,5445.080569759321,-279.23900051121274,554.9463192723376,-0.06475642138552964,0.0637796133044345,-0.4485676739734031,0.2333101317708518,0.23271311139354026,True,10.17530041012943
10,1,40.689747985531376,4.133206282351814,5720.137597858661,5538.892164003086,-279.86801769194585,563.8536568285635,-0.03871206502618925,0.03770030519729238,-0.23750178929106888,0.12474569154847563,0.12413266174219635,True,5.4734071583422335
11,1,72.65558479549327,2.292522380721742,6307.860567360812,6530.651931373722,-387.7766852247428,793.7649846436303,0.005251552096306836,-0.006828827873229784,-0.02560188846090553,0.014154436344950557,0.013520631076655588,False,-16.696296286664968
12,1,20.037125146654688,5.292318901275995,5264.131450295254,5031.583900281899,-124.11384858728695,335.03724438650994,-0.0005779602423062156,-9.080392026716648e-05,-0.0005200041538895761,0.00035627433326196393,0.0,False,-38.901052519899885
13,1,64.16939933901243,1.1207935584190902,6286.967150785073,6495.207543760013,-387.0219438677207,780.232647285692,0.004053201609317231,-0.00554560610516942,-0.03245785563089166,0.01692372226857536,0.01608728485339152,True,0.35541126580238114
14,1,90.80725381117695,3.5429363078743905,6164.238920768071,6769.980878450217,-320.2451643586356,862.6565526696431,0.0004685725210760222,-0.0021513286337851104,-0.0025829755051962693,0.0018395410108017856,0.0009195921923267279,False,-3.8941973504674436
15,1,89.75354100525965,4.753988132881453,6083.341637253416,6621.499186234321,-311.6931079017995,814.7130126500267,0.0021251977072393596,-0.0037751734544965456,-0.0043151519704060295,0.0036549595200885522,0.002874018520819917,False,-25.283487335553964
16,1,130.22691911188807,39.65508624997654,2327.615753466925,2531.7855557743806,-11.947494967042568,183.58224511852677,0.13500999641853412,-0.13519784573846041,-0.029514836024189,0.1359075085385959,0.13580275726822516,True,5.599881547495599
17,1,63.182695039632314,2.3359825077140948,6156.314387169977,6326.057522667963,-377.49647282259076,752.1087784635694,0.007636378036644718,-0.009066712777785174,-0.06760606941128286,0.034819440920261374,0.034011989626423315,True,0.9202252471783865
18,1,55.00680858232467,4.964610606012514,5748.798900373054,5781.842161376559,-336.8368336710607,647.3403865417185,0.015030282154349584,-0.01619931230593778,-0.549952877428093,0.2754194323942998,0.27477745623439004,True,11.983053187099294
19,1,129.14465112510717,40.98492208838599,2194.354356666069,2389.5818672214405,-8.2089954409453,173.01942723838107,0.256059552241646,-0.2562015233027639,-0.03978370988155619,0.2569018066741919,0.25684819096658834,True,11.441012807119414
20,1,84.55584903574051,3.7530558566125705,6177.782874366055,6662.658642009475,-353.37112943653665,840.7579139352375,0.00264562707542496,-0.004300079280181233,-0.010967982973872834,0.006491137945180965,0.005657484630400157,False,-9.554927929648166
21,1,23.333333333432265,1.226504793797975,5613.889570617783,5565.968854052785,-241.92863780391042,465.0108305056465,-0.0003174973357623059,-0.0005091064984771591,-0.0026766598290917975,0.0013417546265906835,0.000853001371313997,False,-2.5489703165423307
22,1,83.39336952008888,4.779820035351032,6055.05189697679,6482.246089735274,-363.49162930620645,821.9895319923386,0.008255172134543489,-0.009836302566377507,-0.028444011975262203,0.01685499387498349,0.01598032902148749,True,0.5518934473696433
23,1,134.88252134739173,23.264415197319078,4122.626698157587,4622.670019357977,-1.7431561920995822,489.81924188737094,0.00033308078454351666,-0.0012919836807869303,-9.338851525448146e-06,0.0008125456495833858,0.0002887730270177948,False,-26.386594020648353
24,1,50.16198457060367,4.102998326254523,5809.501600765247,5778.769348224718,-329.51189714358156,633.6690329518512,-0.009786669808257487,0.008638546152369735,-0.4279043318020847,0.21415041778980046,0.21346868781235592,True,9.471008119796544
25,1,135.22332278248106,9.665633307803057,5566.318226032315,6351.450635601061,-8.372657907196153,777.3126418557305,0.0001288312546398459,-0.0017058642810729076,-4.233103155350765e-05,0.0009175919061593629,9.504461074843146e-05,False,-27.444120136549664
