# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,6.3,6.0,-1.1802744664654585e-05,-3.5932664155342777e-06,1.2337598840618819e-05,0.010850830886071404,0.00021513507422377053,0.01085296337496273
2,24.0,6.0,0.0,-3.987617521941894e-06,3.987617521941894e-06,0.0,0.0009856377325869036,0.0009856377325869036
3,24.0,15.0,0.0,1.0214092042975381e-06,1.0214092042975381e-06,0.0,0.0062230235060386895,0.0062230235060386895
4,8.7,15.0,-0.0007950727764293453,-0.0007285781489241999,0.0010784094022721063,0.01266430559424432,0.019648774584304786,0.023376462068697
5,8.7,14.7,-0.0007811833824400566,-0.000772897591845137,0.0010989168141768055,0.012680309436235375,0.019517460290283936,0.02327491146237704
6,8.7,14.1,-0.0007296905277712068,-0.0007566045275154698,0.0010511416067190613,0.012697233020468409,0.019188356451916612,0.023008971070038818
7,8.7,13.5,-0.0006959723376950278,-0.0007458023615238424,0.0010200973763769916,0.012746538957002668,0.018642828357430443,0.022583828385528422
8,8.7,12.9,-0.0006695132693087663,-0.0007219288914291772,0.0009845960298826486,0.01282208944722189,0.017843583432585384,0.021972697774925012
9,8.7,12.3,-0.0006419338503602864,-0.0007152527378797152,0.0009610752037602527,0.012883101578938344,0.0167934238878286,0.021165854392618692
10,8.7,12.0,-0.0006235990023600799,-0.0007029661863958564,0.0009397005772906712,0.01285914914719474,0.016605431344230343,0.02100233479682073
11,8.4,12.0,-0.0006363401726834222,-0.0007429624583326633,0.0009782239160143664,0.012792445298424795,0.015820751297631164,0.020345584983840814
12,7.5,12.0,-0.000619623419113674,-0.0006193218017664925,0.0008760665931636787,0.012844892097947803,0.01359152896998843,0.01870082652585058
13,7.5,11.7,-0.0006227384225212726,-0.0005968293052528162,0.0008625591936167873,0.013391745036623185,0.01354491539254711,0.01904740318566238
14,7.5,11.1,-0.0006493934831076076,-0.0006160801830215334,0.0008951350109421912,0.01413642443394583,0.013090806447562543,0.019266751392598747
15,7.5,10.5,-0.0006553126110471763,-0.0006049852724664545,0.0008918754386677424,0.014581859091565584,0.012297927548325868,0.01907536727169745
16,7.5,9.9,-0.0006759741423234406,-0.0006112217712496981,0.0009113358846986819,0.014791158173854095,0.011146206732829162,0.018520698816592667
17,7.5,9.3,-0.0006710005393407714,-0.0005858357346612483,0.0008907554276015896,0.014722733662669097,0.009615945032082384,0.017584802681915986
18,7.5,9.0,-0.000600393549884809,-0.0005648230921410161,0.0008243164077943744,0.014609924186502032,0.00930456689421562,0.017321225413470906
19,7.2,9.0,-0.0006055422831171067,-0.0006664742507371257,0.0009004828613240184,0.014473694702381391,0.008178974988338347,0.016624784816580557
20,6.3,9.0,-0.0004347167161018531,-4.462238975110749e-06,0.0004347396172826329,0.01477564309012742,0.0061121483468103725,0.01598993390043395
21,6.3,8.7,-0.0005091691956615671,-4.334430396881611e-05,0.0005110107616256123,0.01521148193491801,0.006012498273789115,0.01635662918050825
22,6.3,8.1,-0.0005793223603403896,6.6777280857978e-05,0.000583158299631537,0.01563125264557659,0.005633083735107139,0.016615284879789867
23,6.3,7.5,-0.0005766125620743495,0.00021498158912033535,0.0006153853511440212,0.01541279664400031,0.004801739703684957,0.016143450825992927
24,6.3,6.9,-0.0002476352741222973,9.945729033274489e-05,0.00026686135274699716,0.014782474229444866,0.0031776154205687595,0.01512014497633002
25,6.3,6.3,-2.111869682570877e-05,8.098434406004834e-05,8.369267195192472e-05,0.01271708448125679,0.0008372076832555864,0.012744612760234203
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,6.0,6.0,-7.72618187940173e-06,1.07754868085546e-06,7.800961324939959e-06,0.00987980385659304,-0.0005278957077819213,0.00989389701397004
29,0.0,6.0,0.0,9.275334156037471e-07,9.275334156037471e-07,0.0,-0.0035396727405846424,0.0035396727405846424
30,6.0,9.0,-0.0004913047469758125,5.54489990421134e-05,0.0004944238524745134,0.014777899457439285,0.005720502780385645,0.01584646536091201
31,6.0,8.7,-0.0005801525887500075,5.28997826163306e-05,0.0005825593645579739,0.015165843274014355,0.005700607023229248,0.0162018431866642
32,6.0,8.1,-0.0005797826599533984,5.126115770540552e-05,0.0005820443617731697,0.015799003399427726,0.005536046127125638,0.01674085765833972
33,6.0,7.5,-0.0005651561120220694,-3.4076798055823754e-05,0.0005661825316288372,0.015718299635180944,0.004856168494592475,0.0164513621280793
34,6.0,6.9,-0.0002492907993807969,-1.3583617955011118e-05,0.0002496606042864281,0.015234520968823046,0.0038803288987094417,0.01572092813772993
35,6.0,6.3,-1.8648670338218543e-05,1.2780862605765025e-05,2.260803738343943e-05,0.013277685061334782,0.0025923149505317146,0.01352837822470761
36,7.2,12.0,-0.0006170902043764609,-0.000627556548371766,0.0008801292755849376,0.012878572332720585,0.013044761356654229,0.018330941715612312
37,7.2,11.7,-0.0006293159604082166,-0.000621651348985279,0.0008845840704646072,0.01341265913701509,0.013011897130306075,0.01868713172360654
38,7.2,11.1,-0.0006484122026306632,-0.0006197780551874948,0.0008969744824755839,0.014284810008402628,0.012766156099613742,0.01915804109338596
39,7.2,10.5,-0.0006552233396326934,-0.0006158646334993231,0.0008992257067025361,0.014819799435963073,0.012139718802775519,0.01915722390986316
40,7.2,9.9,-0.0006736290998891475,-0.0006161167117063049,0.0009128942801120254,0.015119971513737274,0.01117466052956964,0.018801238696621782
41,7.2,9.3,-0.0006734824911502624,-0.0006415041003048072,0.0009301108410258658,0.015087834067808961,0.009955793017574158,0.018076519340473572
42,8.4,15.0,-0.0008054522689416171,-0.000731780998974127,0.00108823563073572,0.012645260844806999,0.019591806751439306,0.023318265664902093
43,8.4,14.7,-0.0007836729174244966,-0.0007319368662761783,0.001072322161348358,0.012710818243139688,0.019524680546398603,0.023297597533845603
44,8.4,14.1,-0.0007386812147171518,-0.0007304701635068578,0.0010388631270527135,0.012802381824982069,0.019215508686853674,0.02308975431846732
45,8.4,13.5,-0.000699355348781322,-0.0007274626453308009,0.0010091084204488293,0.0129076978580304,0.01865579406980347,0.02268583955618828
46,8.4,12.9,-0.000667398201349062,-0.0007240038449721348,0.000984683668341462,0.013059137637795423,0.017898123661003608,0.02215590003650184
47,8.4,12.3,-0.0006426107320093646,-0.0007257504716555035,0.0009693618003623814,0.013146081383651875,0.017026289831704795,0.021510788018545775
48,12.6,6.3,-8.758882775761548e-06,1.3816975294009444e-05,1.6359304195313433e-05,0.008802285459366808,0.0020173642002576835,0.009030503176715108
49,12.6,6.9,-1.552110795218116e-05,1.66415889482803e-05,2.2756257925827486e-05,0.00941574065873317,0.003174279587640311,0.009936408961643581
50,12.6,7.5,-3.526852672360199e-05,-3.6686975474382877e-06,3.5458825684841955e-05,0.009923900494109688,0.004192098511654855,0.010772998233936983
51,12.6,8.1,-4.309750116781967e-05,-1.9022997555531718e-05,4.710911846880584e-05,0.010314177294806437,0.005130312310873616,0.011519650935501563
52,12.6,8.7,-4.4535741975840204e-05,-2.4237739154636673e-05,5.070404631453808e-05,0.010587978527827394,0.005960926369806304,0.012150635065377698
53,13.8,9.3,-5.7501829693721446e-05,-7.309805927521382e-06,5.79645898874802e-05,0.009398043195554751,0.006193991941029701,0.011255609804495439
54,13.8,9.9,-6.835700340385858e-05,-8.285538547914834e-06,6.88573167018881e-05,0.009677652584401715,0.007334048135836261,0.012142702401160152
55,13.8,10.5,-7.585886039830278e-05,-2.1641796320652842e-05,7.88855756708019e-05,0.009875166855842754,0.008350321109650592,0.012932392781887332
56,13.8,11.1,-8.033227778409327e-05,-4.26358929705474e-05,9.094555636960333e-05,0.010027201564856867,0.009227875771560114,0.013627122310950842
57,13.8,11.7,-8.260112426236241e-05,-6.737630395793615e-05,0.00010659508461668595,0.010172057455169338,0.009966774437354642,0.01424104439837093
58,15.0,12.3,-9.264216125087765e-05,-6.417593609685593e-05,0.00011269924939919234,0.009127320665484596,0.00882453546637308,0.012695684649827222
59,15.0,12.9,-0.00015501117702914485,-8.540289561589226e-05,0.00017698056272805743,0.009425988463951323,0.00955902078070111,0.013424758351956249
60,15.0,13.5,-0.0004683672611959788,-0.0002361850913722638,0.000524548652411525,0.009574755170769776,0.01005801153546996,0.013886667441392457
61,15.0,14.1,-0.0006173542264382645,-0.0003701267366955155,0.000719805558549015,0.01004337441487002,0.010474562502620419,0.014511575698681636
62,15.0,14.7,-0.0006113654391493722,-0.0005748657988769515,0.0008391891246344535,0.010913082649153544,0.010744657828484598,0.015314798227808015
63,6.465539224336129,6.0,-1.3416252704848836e-05,-9.343946439610015e-06,1.63494700741848e-05,0.011077293432981222,3.3575807302693096e-05,0.011077344317804919
64,6.667616114132989,6.0,-1.3421471496020618e-05,-9.892674272901354e-06,1.667335903134753e-05,0.01126367049217071,-8.162760911345872e-05,0.011263966265164627
65,6.914295159623611,6.0,-1.341977093852198e-05,-1.0373695827237562e-05,1.696183413308965e-05,0.011417323505022456,-0.00014227971867596136,0.011418209997047906
66,7.215420963664989,6.0,-1.2968140704200382e-05,-1.1264317418525796e-05,1.717723843431308e-05,0.011558181537106135,-0.00020970552353036245,0.011560083773541622
67,7.583010990124066,6.0,-1.30887877053832e-05,-1.4116615269015422e-05,1.9250849078676756e-05,0.011528710692293739,-0.000271051901709387,0.011531896607238041
68,8.03173497738769,6.0,-1.281969483157494e-05,-1.6148230545948335e-05,2.061819403681632e-05,0.011464485248629593,-0.0003318822165991398,0.011469288025929955
69,8.579500938900061,6.0,-1.0944979901107016e-05,-1.635039449976168e-05,1.9675568234068198e-05,0.011249210341882539,-0.0004424329932128151,0.011257907455180129
70,9.248169395071583,6.0,-9.832401778030533e-06,-1.3054528808073692e-05,1.6343097843598806e-05,0.010800179650782324,-0.0005038796628574882,0.010811927450913365
71,10.064425388812246,6.0,-9.611036648076582e-06,-8.190336082550178e-06,1.2627495024580073e-05,0.010212061370314161,-0.0005020567031946318,0.010224395256653833
72,11.036399874572554,6.0,-9.054563575340568e-06,-2.4908652747008056e-06,9.390928141381686e-06,0.009541744053692675,-0.00032441824986568027,0.00954725755319429
73,12.033599884218098,6.0,-7.2314488024846635e-06,5.707639327330637e-06,9.212545710814584e-06,0.009061205746501398,0.0004357321886795198,0.009071676367721757
74,13.030799893863753,6.0,-8.224185280873361e-06,1.4555705173915651e-05,1.6718426260987873e-05,0.008135992684056665,0.0022317329055080177,0.008436528238354378
75,14.027999903509222,6.0,-8.197287800937314e-06,1.3032096869799569e-05,1.5395813590558813e-05,0.007082645689002505,0.002505878609258809,0.007512875452201149
76,15.02519991315501,6.0,-7.799610500800261e-06,1.081134373075404e-05,1.3331131881003519e-05,0.0061177876137046856,0.0025048131962527066,0.006610704533899558
77,16.022399922803046,6.0,-7.505429053343733e-06,6.6848385149350775e-06,1.0050797542759262e-05,0.005216750812224609,0.0023551017910251595,0.005723721995601816
78,17.019599932452078,6.0,-6.2112885002921225e-06,2.6906766107413554e-06,6.7690357849144035e-06,0.004385425826170522,0.002127301289150801,0.004874153306130826
79,18.01679994210227,6.0,-4.715194101360606e-06,-1.125130525803748e-07,4.71653629271596e-06,0.0036253145340933274,0.0018715090209139242,0.004079883758940996
80,19.013999951751128,6.0,-3.461602740575942e-06,-1.8480822565009134e-06,3.924041483006567e-06,0.002927604542997904,0.0016226272486489276,0.003347205931555445
81,20.011199961401285,6.0,-2.4959526336324964e-06,-2.8840681258463082e-06,3.8141353546852045e-06,0.002282266706255229,0.001402087050043502,0.0026785424048128828
82,21.008399971050537,6.0,-1.7188072899154173e-06,-3.4789033195435247e-06,3.880343645425923e-06,0.0016772811138594781,0.001222821901070952,0.002075708393934097
83,22.005599980700296,6.0,-1.0761604812448578e-06,-3.7972842655714135e-06,3.9468328030142595e-06,0.0011021931984784023,0.0010918000442062788,0.0015514049063029558
84,23.002799990350496,6.0,-5.16031600423226e-07,-3.945491281129483e-06,3.979094125816091e-06,0.0005463159753623795,0.0010122671769728776,0.0011502808276733065
85,24.0,7.0,0.0,-4.433125428077731e-06,4.433125428077731e-06,0.0,0.0013690907118424104,0.0013690907118424104
86,24.0,8.0,0.0,-4.549375750195024e-06,4.549375750195024e-06,0.0,0.0017971666068535474,0.0017971666068535474
87,24.0,9.0,0.0,-4.2845918734272376e-06,4.2845918734272376e-06,0.0,0.002268225531287395,0.002268225531287395
88,24.0,10.0,0.0,-3.6381893230843718e-06,3.6381893230843718e-06,0.0,0.002784208524565406,0.002784208524565406
89,24.0,11.0,0.0,-2.677616836577884e-06,2.677616836577884e-06,0.0,0.003349825092269005,0.003349825092269005
90,24.0,12.0,0.0,-1.5557207961036656e-06,1.5557207961036656e-06,0.0,0.003971618931226555,0.003971618931226555
