# units: SI
node_id,x,y,u_x,u_y,u_mag,u_x_vp,u_y_vp,u_mag_vp
1,6.3,6.0,-0.019346754286067403,-0.0006295435615297562,0.01935699425275864,-0.006247285204256044,-0.0020211545023767234,0.006566097619270839
2,24.0,6.0,0.0,-0.0033963361730275864,0.0033963361730275864,0.0,0.0008383847974008621,0.0008383847974008621
3,24.0,15.0,0.0,-0.011185601870122866,0.011185601870122866,0.0,-0.003486933305199711,0.003486933305199711
4,8.7,15.0,-0.02899268763057304,-0.024111928349208635,0.03770889848247167,-0.025022874291671077,-0.020877792179981987,0.03258874720094791
5,8.7,14.7,-0.02801291926103633,-0.02311895936337866,0.036320929607746744,-0.023752924548756407,-0.019922795019263785,0.03100192229521448
6,8.7,14.1,-0.026191387384107104,-0.02081382272899277,0.03345450626893634,-0.021354185242839684,-0.01771163362559009,0.02774352524594965
7,8.7,13.5,-0.02598526427485062,-0.019600705207810747,0.03254875733537806,-0.020563925974956692,-0.01661946182687067,0.02644015058425935
8,8.7,12.9,-0.025849381895434752,-0.018884878007559832,0.032012953030553855,-0.01984389992883226,-0.016054203451842098,0.02552484697032771
9,8.7,12.3,-0.025587672780366857,-0.01797523897933256,0.031270404773191596,-0.019002956440626807,-0.01533608789984267,0.024419417387727755
10,8.7,12.0,-0.02563019303972523,-0.01755270205590432,0.03106451584552586,-0.018735407942068173,-0.015013837078703029,0.024008973626157972
11,8.4,12.0,-0.026507892559079718,-0.016778827502694785,0.03137192088937018,-0.019470481450313964,-0.014648076189907058,0.024365257724316036
12,7.5,12.0,-0.026677626431330575,-0.014266597873292137,0.030252794364948363,-0.019618543200313057,-0.013205251258291303,0.023648803312158392
13,7.5,11.7,-0.027014522447890866,-0.014235665557582641,0.03053585756049671,-0.019609000771236135,-0.013179803812178554,0.023626682792424664
14,7.5,11.1,-0.027693937123168824,-0.014053998072642163,0.03105590145540551,-0.01959073701514209,-0.013027613070668617,0.023526913930975182
15,7.5,10.5,-0.02799651724608348,-0.013763709279764998,0.031196869571290944,-0.019218436080275958,-0.012797809604182322,0.023089656039806096
16,7.5,9.9,-0.027511895843629647,-0.013229458963138626,0.030527413866361087,-0.018095907753764323,-0.012367371201987214,0.02191834272659524
17,7.5,9.3,-0.026472516012105853,-0.012392710964103435,0.02922966624939481,-0.016462992688163085,-0.011694871533315096,0.02019406220727407
18,7.5,9.0,-0.02614487133398561,-0.011513188163659338,0.028567600507611556,-0.015835033997358264,-0.01091111309505785,0.019230202564472245
19,7.2,9.0,-0.02769495397212633,-0.010301159453937591,0.029548677831903812,-0.01725181036609092,-0.010124037270912713,0.020003027060182463
20,6.3,9.0,-0.027819332097100354,-0.007588604132472557,0.02883577900817208,-0.017354986139549673,-0.008492984864818441,0.019321654582824848
21,6.3,8.7,-0.02768442055593392,-0.007551173363713192,0.028695772522911247,-0.016875271854918848,-0.00846096502074927,0.018877572123018334
22,6.3,8.1,-0.027394652685974193,-0.007346605302067571,0.02836264453906794,-0.015900465161143996,-0.00828588506919219,0.01792988242350228
23,6.3,7.5,-0.026480694276983876,-0.0068577480400218585,0.02735426616766588,-0.01434696310492049,-0.007863828855986328,0.016360780990227607
24,6.3,6.9,-0.023537160516291393,-0.004539726876034927,0.023970962543850016,-0.010838190784250962,-0.005659858497121623,0.012227034705244862
25,6.3,6.3,-0.019517309039821035,-0.0007699751797876328,0.019532491237253095,-0.0064755721257613915,-0.002099027241052952,0.0068072718261150906
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,6.0,6.0,-0.019117041539720103,0.0007477073000337482,0.01913165814658802,-0.006286720652458291,-0.0013800375835904856,0.006436408959518333
29,0.0,6.0,0.0,0.006358954521853019,0.006358954521853019,0.0,0.001354831493602264,0.001354831493602264
30,6.0,9.0,-0.027809650695042692,-0.007607985183578138,0.028831547137360372,-0.01734623431878008,-0.008839555004806798,0.019468681971952513
31,7.2,12.0,-0.02666224241212884,-0.013829848387903318,0.030035643440344574,-0.019602292111253253,-0.013097851195545322,0.02357548646275511
32,8.4,15.0,-0.02894210261832639,-0.023476585771353333,0.03726654509676803,-0.0249703734320788,-0.02056581792609249,0.03234922589965104
33,6.05,6.3,-0.021212667196537246,-0.0021348870046871975,0.021319826268378212,-0.00801378197020471,-0.003893228271312086,0.008909429153347692
34,6.2406585608,6.3,-0.019610223651181844,-0.0008342122809737306,0.019627959185282078,-0.006540980046716775,-0.002335018887514791,0.0069452669622267075
