node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1,24.39,167.65290000000002,0,0,0,0,0,0,0,0
2,24.39,167.65290000000002,0,0,0,0,0,0,0,0
3,23.760131241619522,-6.188822519712471,0,0,0,0,0,0,0,0
4,21.295528830346882,-71.6568621742971,0,0,0,0,0,0,0,0
5,20.226539647786094,-82.14364605521844,0,0,0,0,0,0,0,0
6,7.3,0.0,0,0,0,0,0,0,0,0
7,7.3,0.0,0,0,0,0,0,0,0,0
8,7.301822110362947,71.63087490266051,0,0,0,0,0,0,0,0
9,24.389992615925287,239.2658275622271,0,0,0,0,0,0,0,0
10,24.39,167.65290000000002,0,0,0,0,0,0,0,0
11,24.39,167.65290000000002,0,0,0,0,0,0,0,0
12,24.39,167.65290000000002,0,0,0,0,0,0,0,0
13,24.39,167.65290000000002,0,0,0,0,0,0,0,0
14,24.39,167.65290000000002,0,0,0,0,0,0,0,0
15,24.39,167.65290000000002,0,0,0,0,0,0,0,0
16,24.39,167.65290000000002,0,0,0,0,0,0,0,0
17,24.39,167.65290000000002,0,0,0,0,0,0,0,0
18,24.39,167.65290000000002,0,0,0,0,0,0,0,0
19,24.39,167.65290000000002,0,0,0,0,0,0,0,0
20,24.39,167.65290000000002,0,0,0,0,0,0,0,0
21,24.39,159.6689614285933,0,0,0,0,0,0,0,0
22,24.39,151.6850228571789,0,0,0,0,0,0,0,0
23,24.39,143.70108428576398,0,0,0,0,0,0,0,0
24,24.39,135.7171457143505,0,0,0,0,0,0,0,0
25,24.39,127.73320714295384,0,0,0,0,0,0,0,0
26,24.39,119.74926857154634,0,0,0,0,0,0,0,0
27,24.39,111.76533000014068,0,0,0,0,0,0,0,0
28,24.39,103.7813914287333,0,0,0,0,0,0,0,0
29,24.39,95.7974528573287,0,0,0,0,0,0,0,0
30,24.39,87.81351428592153,0,0,0,0,0,0,0,0
31,24.39,79.82957571450133,0,0,0,0,0,0,0,0
32,24.39,71.845637143043,0,0,0,0,0,0,0,0
33,24.39,63.86169857158994,0,0,0,0,0,0,0,0
34,24.39,55.87776000013807,0,0,0,0,0,0,0,0
35,24.39,47.89382142867594,0,0,0,0,0,0,0,0
36,24.39,39.909882857228595,0,0,0,0,0,0,0,0
37,24.39,31.92594428579526,0,0,0,0,0,0,0,0
38,24.39,23.942005714356316,0,0,0,0,0,0,0,0
39,24.39,15.958067142886629,0,0,0,0,0,0,0,0
40,24.39,7.974128571427294,0,0,0,0,0,0,0,0
41,22.913957220200754,-24.81236216979456,0,0,0,0,0,0,0,0
