node_id,head,u,v_x,v_y,v_mag,i_x,i_y,i_mag,q,phi
1,7.3,0.0,0,0,0,0,0,0,0,0
2,7.3,0.0,0,0,0,0,0,0,0,0
3,13.875083892862525,-103.16113701101861,0,0,0,0,0,0,0,0
4,13.949678739747647,-143.71965156307562,0,0,0,0,0,0,0,0
5,13.830312480789345,-144.89063456345653,0,0,0,0,0,0,0,0
6,7.3,0.0,0,0,0,0,0,0,0,0
7,7.3,0.0,0,0,0,0,0,0,0,0
8,7.301509112481877,71.62780439344722,0,0,0,0,0,0,0,0
9,7.301262478564111,71.62538491471393,0,0,0,0,0,0,0,0
10,7.3,0.0,0,0,0,0,0,0,0,0
11,7.3,0.0,0,0,0,0,0,0,0,0
12,7.3,0.0,0,0,0,0,0,0,0,0
13,7.3,0.0,0,0,0,0,0,0,0,0
14,7.3,0.0,0,0,0,0,0,0,0,0
15,7.3,0.0,0,0,0,0,0,0,0,0
16,7.3,0.0,0,0,0,0,0,0,0,0
17,7.3,0.0,0,0,0,0,0,0,0,0
18,7.3,0.0,0,0,0,0,0,0,0,0
19,7.3,0.0,0,0,0,0,0,0,0,0
20,7.3,0.0,0,0,0,0,0,0,0,0
21,8.113857142854915,0.0,0,0,0,0,0,0,0,0
22,8.927714285710614,0.0,0,0,0,0,0,0,0,0
23,9.526911968686996,-2.105809301416614,0,0,0,0,0,0,0,0
24,10.035362211143074,-5.101850994335974,0,0,0,0,0,0,0,0
25,10.489682535062876,-8.628907188079351,0,0,0,0,0,0,0,0
26,10.887223469381837,-12.712969193817852,0,0,0,0,0,0,0,0
27,11.244140461507595,-17.195552072469834,0,0,0,0,0,0,0,0
28,11.57387302685721,-21.944814177797472,0,0,0,0,0,0,0,0
29,11.873328577360912,-26.99109379876078,0,0,0,0,0,0,0,0
30,12.132911343652964,-32.42852543284291,0,0,0,0,0,0,0,0
31,12.389753464747637,-37.892842796324366,0,0,0,0,0,0,0,0
32,12.631047165268685,-43.50969016567121,0,0,0,0,0,0,0,0
33,12.847681790855521,-49.36844306011741,0,0,0,0,0,0,0,0
