slice #,x_l,y_lb,y_lt,x_r,y_rb,y_rt,x_c,y_cb,y_ct,y_cg,dx,alpha,dl,h1,h2,h3,w,qL,qR,dload,d_x,d_y,qL2,qR2,dload2,d_x2,d_y2,beta,kw,t,y_t,p,n_eff,z,theta,piezo_y,hw,u,hw2,u2,mat,c,phi,c1,phi1,d,psi,r,xo,yo
1,55.5576253046535,39.99961494556892,40.0,65.58135442054459,30.04068289318306,40.0,60.56948986259904,34.72697403083298,40.0,37.36348701541649,10.023729115891086,-44.71555019038,14.105838139841294,0.0,0.0,5.273025969167023,6976.910679550587,0.0,0.0,0.0,60.56948986259904,40.0,0,0,0.0,60.56948986259904,40.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,5.273025969167023,329.0368204760222,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
2,65.58135442054459,30.04068289318306,40.0,75.60508353643566,22.10032906584962,40.0,70.59321897849011,25.85314164552767,40.0,32.926570822763836,10.023729115891072,-38.3202613973887,12.776289290673885,0.0,0.0,14.146858354472329,18718.16443016667,0.0,0.0,0.0,70.59321897849011,40.0,0,0,0.0,70.59321897849011,40.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,14.146858354472329,882.7639613190732,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
3,75.60508353643566,22.10032906584962,40.0,85.62881265232674,15.716434118661425,40.0,80.6169480943812,18.733901885584658,40.0,29.36695094279233,10.023729115891086,-32.44742192315573,11.878086730649825,0.0,0.0,21.266098114415342,28137.860104313735,0.0,0.0,0.0,80.6169480943812,40.0,0,0,0.0,80.6169480943812,40.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,21.266098114415342,1327.0045223395173,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
4,85.62881265232674,15.716434118661425,40.0,95.65254176821782,10.616142113826896,40.0,90.64067721027229,13.018393983628243,40.0,26.509196991814118,10.023729115891072,-26.935961804150597,11.243498205472457,0.0,0.0,26.981606016371757,35700.23289621456,0.0,0.0,0.0,90.64067721027229,40.0,0,0,0.0,90.64067721027229,40.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,26.981606016371757,1683.6522154215975,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
5,95.65254176821782,10.616142113826896,40.0,105.6762708841089,6.62608620842262,40.0,100.66440632616336,8.490560338649104,40.0,24.245280169324552,10.023729115891086,-21.68252031424755,10.78695667671407,0.0,0.0,31.509439661350896,41691.15558417432,0.0,0.0,0.0,100.66440632616336,40.0,0,0,0.0,100.66440632616336,40.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,31.509439661350896,1966.189034868296,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
6,105.6762708841089,6.62608620842262,40.0,115.69999999999999,3.632006118520721,40.0,110.68813544205445,5.010018042625987,40.0,22.505009021312993,10.023729115891086,-16.614579054470664,10.460454674719672,0.0,0.0,34.98998195737401,46296.373320203646,0.0,0.0,0.0,110.68813544205445,40.0,0,0,0.0,110.68813544205445,40.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40.0,34.98998195737401,2183.374874140138,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
7,115.69999999999999,3.632006118520721,40.0,125.56666666666666,1.5840147802858695,48.0,120.63333333333333,2.4999338061652168,44.0,23.08422102086657,9.866666666666674,-11.715696790763745,10.07659006958534,0.0,4.0,37.50006619383478,53576.086210850466,0.0,0.0,0.0,120.63333333333333,44.0,0,0,0.0,120.63333333333333,44.0,39.03551289874686,0.0,0.0,0.0,0.0,0,0,0,44.0,41.50006619383478,2589.6041304952905,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
8,125.56666666666666,1.5840147802858695,48.0,135.43333333333334,0.3819458071278916,56.0,130.5,0.8792629304200403,52.0,26.01311423102661,9.866666666666674,-6.940199065150054,9.939495248171937,0.0,12.0,39.12073706957996,65158.84795942099,0.0,0.0,0.0,130.5,52.0,0,0,0.0,130.5,52.0,39.03551289874686,0.0,0.0,0.0,0.0,0,0,0,52.0,51.12073706957996,3189.9339931417894,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
9,135.43333333333334,0.3819458071278916,56.0,145.3,0.00037500058593309404,64.0,140.36666666666667,0.08948243701796343,60.0,29.420178817489198,9.866666666666674,-2.2128037636892506,9.874029601984471,0.0,20.0,39.91051756298204,75659.45807402786,0.0,0.0,0.0,140.36666666666667,60.0,0,0,0.0,140.36666666666667,60.0,39.03551289874686,0.0,0.0,0.0,0.0,0,0,0,56.55384615384616,56.464363716828196,3523.3762959300793,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
10,145.3,0.00037500058593309404,64.0,157.65,0.6686231538410539,74.0,151.47500000000002,0.17481744224213003,69.00000000000001,33.980375800175715,12.349999999999994,3.093086941691099,12.368017877216602,5.000000000000014,24.0,39.82518255775787,108518.51260565686,1000.0,1000.0,12349.999999999995,151.47500000000002,69.0,0,0,0.0,151.47500000000002,69.0,38.997666428583756,0.0,0.0,0.0,0.0,0,0,0,61.44250000000001,61.26768255775788,3823.1033916040915,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
11,157.65,0.6686231538410539,74.0,170.0,2.633054056944971,84.0,163.825,1.4857840805585028,78.99999999999999,39.80675988444744,12.349999999999994,9.025556359556186,12.504828966175959,14.999999999999986,24.0,38.5142159194415,122436.37479187346,1000.0,1000.0,12349.999999999995,163.825,79.0,0,0,0.0,163.825,79.0,38.997666428583756,0.0,0.0,0.0,0.0,0,0,0,65.1475,63.66171591944149,3972.491073373149,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
12,170.0,2.633054056944971,84.0,180.74039578255775,5.4459773324998935,84.0,175.37019789127888,3.9067138890256103,84.0,43.60982012961582,10.740395782557755,14.660141002929628,11.101826276173151,20.0,24.0,36.09328611097439,110027.98437451117,0.0,0.0,0.0,175.37019789127888,84.0,0,0,0.0,175.37019789127888,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,68.61105936738366,64.70434547835805,4037.551157849542,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
13,180.74039578255775,5.4459773324998935,84.0,191.4807915651155,9.367563456822083,84.0,186.11059367383663,7.261723058294422,84.0,45.32793934476856,10.740395782557755,20.03464487192144,11.432208559010094,20.0,24.0,32.73827694170558,105271.47969867961,0.0,0.0,0.0,186.11059367383663,84.0,0,0,0.0,186.11059367383663,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,71.30941293010785,64.04768987181343,3996.575848001158,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
14,191.4807915651155,9.367563456822083,84.0,202.22118734767326,14.521396868737028,84.0,196.8509894563944,11.780432026398856,84.0,47.64817220341477,10.740395782557755,25.600370513011892,11.909560528688656,20.0,24.0,28.219567973601144,98865.16029651983,0.0,0.0,0.0,196.8509894563944,84.0,0,0,0.0,196.8509894563944,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,73.61092631208452,61.83049428568566,3858.222843426785,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
15,202.22118734767326,14.521396868737028,84.0,212.961583130231,21.099933172759165,84.0,207.5913852389521,17.616805608200096,84.0,50.65773215657706,10.740395782557727,31.43929378596756,12.588467314979376,20.0,24.0,22.383194391799904,90590.74528566952,0.0,0.0,0.0,207.5913852389521,84.0,0,0,0.0,207.5913852389521,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,75.91243969406116,58.29563408586107,3637.6475669577303,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
16,212.961583130231,21.099933172759165,84.0,223.70197891278875,29.413033414232515,84.0,218.33178102150987,25.01342256816848,84.0,54.49896162865568,10.740395782557755,37.66895085108527,13.56873289901276,20.0,24.0,14.98657743183152,80104.32293020055,0.0,0.0,0.0,218.33178102150987,84.0,0,0,0.0,218.33178102150987,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,76.83771197471701,51.82428940654853,3233.835658968628,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
17,223.70197891278875,29.413033414232515,84.0,234.4423746953465,39.99961494556892,84.0,229.07217680406762,34.37366592323602,84.0,59.42423583911215,10.740395782557755,44.47528061748122,15.051999087391286,20.0,24.0,5.626334076763982,66834.00412060897,0.0,0.0,0.0,229.07217680406762,84.0,0,0,0.0,229.07217680406762,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,77.70855487600548,43.33488895276946,2704.097070652814,0,0,3,400.0,27.0,400.0,27.0,,,120.0,145.0,120.0
18,234.4423746953465,39.99961494556892,84.0,242.7799871733076,50.43654617266478,84.0,238.61118093432705,44.92039688383612,84.0,64.85041009437636,8.337612477961102,51.26910779222677,13.326036228554191,20.0,19.07960311616388,0.0,40767.19288460369,0.0,0.0,0.0,238.61118093432705,84.0,0,0,0.0,238.61118093432705,84.0,0.0,0.0,0.0,0.0,0.0,0,0,0,78.48198764332382,33.5615907594877,2094.2432633920325,0,0,2,100.0,32.0,100.0,32.0,,,120.0,145.0,120.0
